"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호2653","품목보고번호201304430611","업소명(주)에그앤씨드 진천공장","품목유형혼합음료","유통/소비기한18개월,실온","제품명아해티","분류식품","업체명","(주)에그앤씨드 진천공장","소재지","충청북도 진천군 덕산읍 석장로 101","1","2","3","4","5","유기농녹차농축액","아가베시럽","고로쇠시럽","메이플시럽","차추출물","유기농,국내산","유기농,멕시코산","국내산","유기농,캐나다산","유기농,국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2652","품목보고번호2013044306132","업소명(주)에그앤씨드 진천공장","품목유형혼합음료","유통/소비기한18개월.실온","제품명아해티아우룸","분류식품","업체명","(주)에그앤씨드 진천공장","소재지","충청북도 진천군 덕산읍 석장로 101","1","2","3","4","5","녹차추출물","황칠나무추출물","황칠나무농축액","녹차농축액","당시럽류","유기농국내산 고형분0.1%","유기농국내산고형분0.1%","유기농국내산15brix","유기농국내산21brix","유기농아가베시럽멕시코75brix","6","7","8","당시럽류","당시럽류","황칠복합추출물","유기농메이플시럽캐나다산65brix","고로쇠시럽국내산65brix","유기농국내산황칠나무추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2651","품목보고번호2013037221951","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명안나미네랄","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","탄산칼륨(무수)","염화칼륨(고시형)","탄산나트륨","규소수지","백설탕",NA,NA,NA,NA,NA,"6",NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2650","품목보고번호1987036400716","업소명(주)보락","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명안다리카 레몬맛 시럽","분류식품","업체명","(주)보락","소재지","경기도 화성시 초록로 720-37","1","2","3","4","5","고과당","정제수","레몬농축","저당","구연산",NA,NA,NA,NA,NA,"6","7","8","레몬엣센스(디-930447)","화이트크라우디","구연산소다",NA,NA,NA,"9","10","11","12","13","14","아스파탐","식용색소황색4호","메론엣센스SCT","사이다엣센스","비타민C","안식향산나트륨",NA,NA,NA,NA,NA,NA
"5","번호2649","품목보고번호19890445014507","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명안동 진(眞)마","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","마추출액","액상과당","이소말토올리고당","마분말","식물성크림",NA,NA,NA,NA,NA,"6","7","8","대추농축액","펙틴","잔탄검",NA,NA,NA,"9","10","11","12","13","14","구연산","마향","합성착향료자몽종자추출물","마추출액","마","정제수",NA,NA,NA,NA,NA,NA
"6","번호2648","품목보고번호200805432329","업소명안동식혜 영농조합법인","품목유형혼합음료","유통/소비기한1년","제품명안동단호박식혜","분류식품","업체명","안동식혜 영농조합법인","소재지","경상북도 안동시 송천길 123(송천동)","1","2","3","4",NA,"정제수","백설탕","단호박분말","식물혼합추출액",NA,"","","","엿기름,쌀혼합추출액(고형분 4%이상)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2647","품목보고번호19710570001623","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한2년","제품명안동마식혜","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","멥쌀","엿기름","설탕","생강농축액","마농축액","","","","생강추출액85%","마100%","6",NA,NA,"정제수",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2646","품목보고번호19950611073148","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한1년","제품명안동사과식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","멥쌀","사과즙","엿기름","백설탕","물엿","","국내산(안동)","겉보리엿기름","","맥아물엿","6","7","8","비타민C","DL-사과산","안식향산나트륨","","","","9","10","11","12",NA,NA,"α-아밀라아제","셀룰라아제","혼합제제","정제수",NA,NA,"","","가드엠-53(신)","",NA,NA
"9","번호2645","품목보고번호200805432325","업소명안동식혜 영농조합법인","품목유형혼합음료","유통/소비기한1년(냉동)","제품명안동수정과","분류식품","업체명","안동식혜 영농조합법인","소재지","경상북도 안동시 송천길 123(송천동)","1","2","3","4","5","정제수","계피추출액","생강추출액","백설탕","흑설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2644","품목보고번호19950611073135","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명안동참마식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","멥쌀","엿기름","설탕","생강농축액","마농축액","","","","[생강추출액85%.국산]","[마100%,국산(안동)]","6","7","8","DL-사과산","안식향산나트륨","셀룰라아제","","","","9","10","11",NA,NA,NA,"α-아밀라아제","혼합제제","정제수",NA,NA,NA,"","가드엠53-신","",NA,NA,NA
