"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호3687","품목보고번호2019051612626","업소명농업회사법인(주)나주시골농장","품목유형혼합음료","유통/소비기한제조일로부터 냉동12개월, 냉장6일","제품명비움 외갓집 찹쌀식혜(OEM제품)","분류식품","업체명","농업회사법인(주)나주시골농장","소재지","전라남도 나주시 노안면 이슬촌길 267-7","1","2","3","4","엿기름","정제수","설탕","찹쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3686","품목보고번호20040275056492","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명비움티","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","정제수","사과농축액","과일채소혼합농축액","사양벌꿀","","사과과즙농축액","","","5","6","7","8","9","10","11","대추농축액","옥수수수염추출분말","대나무잎추출물","우엉분말","히비스커스추출분말","필리핀레몬열매주스","자몽종자추출물","","","대나무잎추출물분말","우엉추출분말","","깔라만시주스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3685","품목보고번호201001501445","업소명(주)제이알지코리아","품목유형혼합음료","유통/소비기한2년","제품명비이엠럭셔리(BEM Luxury)","분류식품","업체명","(주)제이알지코리아","소재지","부산광역시 동래구 아시아드대로255번길 9(5층 온천동)","1","2","3","4","정제수","구연산","제이인산나트륨","기타가공품","","","","진주가루혹은다솜발효진주가루",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3684","품목보고번호2014060761427","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명비컴파운드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","사과청징농축액","비타민 B1염산염(고시형)","비타민 B2(고시형)","니코틴산아미드",NA,NA,NA,NA,"5","6","7","8","9","10","11","비타민B6염산염혼합제제","이노시톨","비타민 B12(고시형)","비타민 C(고시형)","건조비타민D3","마카추출물","액상과당",NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","17","18","19","20","21","22","STEVIOSIDE 스테비오사이드","판토텐산칼슘","타우린","DL-사과산","구연산","구연산삼나트륨","정제염수","비타민 B1라우릴황산염(고시형)","천연트로피칼펀치향","오렌지향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3683","품목보고번호2007055507133","업소명주식회사동남메딕스","품목유형혼합음료","유통/소비기한제조일로부터 24월까지","제품명비타 1500 (수출용)","분류식품","업체명","주식회사동남메딕스","소재지","경상북도 영천시 유봉길 20(오수동)","1","2","3","4","액상과당","비타민C","구연산","구연산삼나트륨","","","","","5","6","7","8","9","10","11","스테비텐","DL-사과산","비타민B2","타우린","사과즙","파인향","안식향산나트륨","","","","","사과과즙농축(70brix/국산)","허브향(파인애플향)합성착향료","","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"삭카린나트륨","정제수","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3682","품목보고번호19960308010570","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24 개월","제품명비타 500ZERO","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","정제수","알룰로오스","비타민C","향료","","","","드링크향","5","6","7","8","9","10","11","구연산","재제소금(재제조소금)","구연산삼나트륨","향료","펙틴","수크랄로스","효소처리스테비아","","","","슈가인핸서","","","","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"아세설팜칼륨","스테비올배당체","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3681","품목보고번호20140443099469","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명비타 잘크톤 꼬부기","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","과당","젖산칼슘","DL-사과산","황산마그네슘","고과당","","","","5","6","7","8","9","10",NA,"향료","안식향산나트륨","수크랄로스","혼합제제","비타민B6염산염","정제수",NA,"오렌지소다향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3680","품목보고번호20140443099474","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명비타 잘크톤 마이멜로디","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","정제수","결정과당","젖산칼슘","딸기농축액","","","","","5","6","7","8","9","10","11","DL-사과산","황산마그네슘","향료","안식향산나트륨","수크랄로스","자일리톨","산화아연","","","딸기향","","","","","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민B6염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3679","품목보고번호20140443099458","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명비타 잘크톤 뮤","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","과당","젖산칼슘","DL-사과산","황산마그네슘","고과당","","","","5","6","7","8","9","10",NA,"향료","안식향산나트륨","수크랄로스","혼합제제","비타민B6염산염","정제수",NA,"오렌지소다향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3678","품목보고번호20140443099477","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명비타 잘크톤 시나모롤","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","정제수","과당","젖산칼슘","DL-사과산","","고과당","","","5","6","7","8","9","10",NA,"황산마그네슘","향료","안식향산나트륨","수크랄로스","혼합제제","비타민B6염산염",NA,"","오렌지소다향","","","비타민D3혼합제제","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
