"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호1167","품목보고번호201705551956","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조로부터 12개월","제품명청포도에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","청포도농축액","구연산","덱스트린","향료","구연산삼나트륨","수크랄로스","식용색소황색제4호","식용색소청색제1호","","","스페인산","함수구연산","말토덱스트린","청포도향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1166","품목보고번호19890445014802","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명청포도에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","청포도농축액","설탕","액상과당","구연산","구연산삼나트륨","비타민C","효소처리스테비아","청포도향","청포도향","식용색소청색제1호","(고형분:68%,칠레산)","","","","","","","합성착향료","합성착향료","합성착색료","11","12","식용색소황색제4호","정제수","합성착색료","",NA,NA,NA
"3","번호1165","품목보고번호20000614238318","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명청포도에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","청포도농축액","라임농축액","설탕","수크랄로스","아세설팜칼륨","구연산","비타민C","구연산삼나트륨","청포도향","식용색소황색제4호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","식용색소청색제1호","정제수",NA,NA,NA,NA,NA
"4","번호1164","품목보고번호20050555180599","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조로부터 12개월","제품명청포도에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","청포도농축액","구연산","덱스트린","향료","구연산삼나트륨","수크랄로스","식용색소황색제4호","식용색소청색제1호","","","스페인산","함수구연산","말토덱스트린","청포도향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1163","품목보고번호2018049104488","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청포도에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9",NA,"정제수","백설탕","구연산","과.채가공품류","혼합제제","구연산삼나트륨","비타민C","식품첨가물혼합제제","수크랄로스",NA,"","","(중국산)","백포도농축액(칠레산)","청포도향","","","그린칼라AF7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1162","품목보고번호2017055519575","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청포도에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","청포도농축액","구연산","말토덱스트린혼합제제","청포도향","구연산삼나트륨","수크랄로스","식용색소황색제4호","식용색소청색제1호","","","스페인산","함수구연산","말토덱스트린","","구연산나트륨","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1161","품목보고번호20050555180760","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청포도에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","청포도농축액","구연산","덱스트린","청포도향","구연산삼나트륨","수크랄로스","식용색소황색제4호","식용색소청색제1호","","","스페인산","","말토덱스트린","","구연산나트륨","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1160","품목보고번호2019048889142","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한18개월","제품명청포도에이드","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","8","9","10","백포도농축액","백설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","식품첨가물혼합제제","합성향료","합성향료","정제수","백포도농축액(68brix,칠레산)","","산도조절제","산도조절제","","감미료","그린칼라AF7","청포도향#7","청포도향#4","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1159","품목보고번호20130555108249","업소명주식회사 도투락","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청포도에이드","분류식품","업체명","주식회사 도투락","소재지","경상북도 영천시 화산면 유성길 75-4","1","2","3","4","5","6","7","8","9","10","정제수","설탕","과.채가공품","구연산","덱스트린","식품첨가물혼합제제","식품첨가물혼합제제","비타민C","식품첨가물혼합제제","수크랄로스","","","백포도주스농축액","","","혼합제제(합성향료,주정,트리아세틴,빙초산,프로필렌클리콜)","혼합제제(합성향료,주정,빙초산,프로필렌글리콜,정제수)","","혼합제제(덱스트린,치자청색소,홍화황색소)","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1158","품목보고번호19960458039647","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청포도에이드","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","청포도농축액","덱스트린","구연산","사과농축액","합성향료","혼합제제","비타민C","구연산삼나트륨","","","68Brix","","","70Brix","청포도향 K-110010","샤인머스캣향 K-201213","","","11","12","수크랄로스","식용색소황색제4호","","","13","식용색소청색제1호",""
