"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","번호22","번호23","번호24","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고22","비고23","비고24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","번호34","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","성분 및 원료34","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33","비고34"
"1","번호2524","품목보고번호19860443015116","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한2년,실온","제품명액스트라콘센트레이트(Xtra concentrate)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","정제수","크랜베리농축쥬스","체리농축쥬스","포도농축쥬스","블루베리농축쥬스","수크랄로스","구연산","솔비톨70","홍사탕무농축쥬스","안식향산나트륨","소르빈산칼륨","아쉬와간다","녹차추출물-내수용","유니베스틴","은행잎추출물분말","비타민b3","니코틴산아미드","비타민 B6(고시형)","알파리포익에시드","가시오갈피추출물","인삼추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2523","품목보고번호19990555093382","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일로부터 24개월(2년)","제품명액트프리 UP","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,"식물성혼합추출액","기타과당","배농축액","혼합제제","비타민C","대추농축액","사양벌꿀","혼합허브추출물","홍삼농축액","식염","구연산","비타민 B1염산염(고시형)","비타민 B2(고시형)","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,"","","","배향","","","","복합허브추출물","6년근, 국산, 고형분 60%이상, 홍삼성분 70mg/g 이상 ※원료삼 배합비율: 홍삼근 70%, 홍미삼30%","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2522","품목보고번호20140443099381","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명액티바디","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,"정제수","포도당","염화칼륨","염화마그네슘","젖산칼슘","구연산","레몬농축액","정제소금","천연향료","DL-사과산","비타민C","타우린","수크랄로스","효소처리스테비아","아미노산혼합분말","구연산삼나트륨","L-아르지닌","비타민B6염산염","비타민B1염산염",NA,NA,"","함수결정포도당","","울릉해양심층수염화마그네슘","","함수구연산","","해양심층수소금","천연레몬향","","","","","","아미노믹스","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2521","품목보고번호20040275056709","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명액티브 아르기닌 3000","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20",NA,"정제수","L-아르지닌","구연산","과.채가공품","프락토올리고당","세븐베리농축액","과.채가공품","레몬농축액","비타민C","타우린","청포도향","펙틴","효소처리스테비아","글루콘산아연","레몬향","과라나추출물분말","니코틴산아미드","분말비타민B12혼합제제","비타민B1염산염","엽산",NA,"","아르기닌","함수구연산","샤인머스캣혼합농축액","","","적포도농축액","","","","혼합제제","펙틴JMJ","","","혼합제제(레몬향#6)","과라나추출분말","","비타민B12혼합제제","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2520","품목보고번호20110084489410","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명액티브 아르기닌 5000 오르니틴","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","정제수","L-아르지닌","구연산","Red grape농축액","프락토올리고당","레몬농축액","오르니틴염산염","효소처리스테비아","세븐베리농축액","과.채가공품","비타민C","타우린","천연향료","아미드펙틴","블루베리향","기타가공품","과라나추출물분말","글루콘산아연","비타민B1염산염","비타민B2","비타민B6염산염","","","함수구연산","적포도주스농축액","","","","","","샤인머스켓혼합농축액","","","천연레몬향","","혼합제제","복합황금추출물","과라나추출분말","","","","","22","23","24","혼합제제","기타가공품","엽산","비타민B12혼합제제","블랙마카추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2519","품목보고번호20190326100186","업소명우리바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명액티브 아르기닌 오르니틴 부스터","분류식품","업체명","우리바이오 주식회사","소재지","경기도 안산시 단원구 성곡로 79(마동 1층일부, 지층,  3층일부, 4층일부 성곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","정제수","L-아르지닌","구연산","파인애플주스","과.채가공품","시클로덱스트린시럽","오르니틴염산염","구연산삼나트륨","비타민C","합성향료","타우린","글루콘산아연","비타민B12, 혼합제제","아미노산혼합제제","황금추출물","니코틴산아미드","비타민B6염산염","판토텐산칼슘","수크랄로스","엽산","기타가공품","","","무수구연산","파인애플주스농축액","사과주스농축액","시클로덱스트린","","","","합성향료(드링크향)","","","","","복합황금추출물","","","","","","마카분말","22","23","24","과라나추출물분말","기타가공품","히알루론산혼합제제","과라나추출분말","피쉬콜라겐","","25","26","27","28","29","30","31","32","33","34","기타가공품","옥수수수염추출분말","세븐베리농축분말","과.채가공품","석류농축분말","기타가공품","L-카르니틴","비타민B1염산염","비타민B2","비오틴","엘라스틴펩타이드","","","레드비트농축분말","","수박과피추출물분말","","","",""
"7","번호2518","품목보고번호19860443015636","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명액티브 아르기닌샷","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,"팔라티노스","액상과당","L-아르지닌","L-글루타민","수크랄로스","레몬농축액","L-로이신","천연향료","구연산(무수)","구연산삼나트륨","당류가공품","혼합제제","기타가공품","황금혼합추출물","타우린","헛개나무열매추출분말","기타가공품","오르니틴염산염","정제수",NA,NA,"","","","","","","","레몬라임향","무수구연산FG","","MSX-1MF","비타민B믹스DS","비타믹스","복합황금추출물","","","KEP믹스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2517","품목보고번호19860443015269","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명액티브 아미노샷 4500","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,"정제수","팔라티노스","과당옥수수시럽","L-아르지닌","구연산(무수)","L-글루타민","레몬라임향","레몬농축과즙","라임농축액","구연산삼나트륨","타우린","황금혼합추출물","혼합제제비타민B","헛개나무열매추출분말","혼합비타민제제","혼합제제","수크랄로스",NA,NA,NA,NA,"","팔라티노스-엘","고과당","L-아르기닌","","","","레몬농축과즙액","","","","복합황금추출물","비타민B믹스 DS","헛개열매추출분말","비타믹스","MSX-1MF","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2516","품목보고번호201005740065","업소명(주)큐비엠","품목유형혼합음료","유통/소비기한12개월","제품명액티브바디","분류식품","업체명","(주)큐비엠","소재지","경상북도 울릉군 북면 울릉순환로 2614","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","분말결정포도당","염화칼륨","자일리톨","염화마그네슘","유청분말","구연산(무수)","정제염수","레몬농축분말","레몬향","효소처리스테비아","이산화규소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2515","품목보고번호200206230091007","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명액티브원샷","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20",NA,"밀크씨슬농축","헛개나무열매농축액","타우린","기타가공품","스테비올배당체","사양벌꿀","기타과당","재제소금(재제조소금)","비타민B1염산염","비타민B2","니코틴산아미드","L-아스파라진","코치닐추출색소","카로틴색소","향료","향료","향료","정제수","구연산","효소처리루틴",NA,"","","","과라나추출분말 24%","","","","","","","","","","","솔향","드링크향","유자향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
