"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","성분 및 원료14","비고14"
"1","번호907","품목보고번호2007055507152","업소명주식회사동남메딕스","품목유형혼합음료","유통/소비기한2년","제품명타우린플러스 (수출용)","분류식품","업체명","주식회사동남메딕스","소재지","경상북도 영천시 유봉길 20(오수동)","1","2","3","4","5","6","7","8","9","10","11","12","타우린","사고과즙농축","액상과당","구연산","구연산삼나트륨","안식향산나트륨","효소처리스테비아","비타민B2","삭카린나트륨","파인향","정제수","백설탕","","","","","","","","","(합성감미료)","허브향(파인애플)합성착향료","","",NA,NA,NA,NA,NA,NA
"2","번호906","품목보고번호19970464172344","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명타우비타","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","기타과당","비타민C","구연산","구연산삼나트륨","효소처리스테비아","니코틴산아미드","비타민 B1염산염(고시형)","비타민B2","비타민B6염산염","타우린","합성향료","정제소금","","","","","","","","","","","청사과향","","13","정제수","",NA,NA,NA
"3","번호905","품목보고번호19990555093409","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명타우콤 3000","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타과당","타우린","비타민C","구연산","구연산삼나트륨","효소처리스테비아","니코틴산아미드","비타민B1염산염","비타민B2","비타민B6염산염","향료","","고과당","","","","구연산나트륨","","","","","","청사과향","13","식염","","14","과라나추출물분말",""
"4","번호904","품목보고번호20000614238543","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명타이거슈가 피치우롱티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11",NA,"복숭아농축액","설탕","구연산","비타민C","수크랄로스","아세설팜칼륨","향료","향료","혼합제제","우롱차추출물","정제수",NA,"","","","","","","","","정제수, 규소수지, 글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","우롱차추출액","",NA,NA,NA,NA,NA,NA,NA
"5","번호903","품목보고번호20070464094546","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명타이거슈가 흑당밀크티","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","설탕","홍차추출분말","당류가공품","우유","혼합분유","탄산수소나트륨","향료","향료","수크랄로스","아세설팜칼륨","혼합제제","유화제","","칠레","흑설탕시럽","시유","탈지분유85%,유청분말15%","","흑당향","타이티향","감미료","감미료","폼크린 200","자당지방산에스테르S-570","13","유화제","자당지방산에스테르P-1570","14","정제수",""
"6","번호902","품목보고번호20110149027182","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명타트체리 가득담은 콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,"체리과즙","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,"타트체리농축액 65brix, 고형분 15%이상, 터키산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호901","품목보고번호1987055800387","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명타트체리 아이스티 커피","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10",NA,NA,"설탕","에스프레소커피추출액","과.채가공품","구연산","홍차분말","수크랄로스","아세설팜칼륨","혼합제제","합성향료","정제수",NA,NA,"","고형분 41%이상","타트체리 농축액(고형분65%이상,터키산)","함수구연산","","","","타트체리향 SF-35040","커피향 SF-34692","",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호900","품목보고번호20110149027212","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명타트체리&콜라겐C","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,"체리과즙","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","비타민C",NA,NA,"타트체리농축액, 터키산","베트남산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호899","품목보고번호2017037259071","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월 이내","제품명타트체리비타톡톡","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","7","8","9","10",NA,NA,"과.채가공품","기타과당","프락토올리고당","정제수","체리향","비타민C","수크랄로스","생선콜라겐","구연산","히알루론산",NA,NA,"타트체리농축액","","","","","","","피쉬콜라겐","","",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호898","품목보고번호19730380010444","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명타트체리에이드","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","과.채가공품","구연산","난소화성말토덱스트린(고시형)","구연산삼나트륨","수크랄로스","아세설팜칼륨","식용색소적색제40호","식용색소청색제1호","합성향료","혼합제제","","수입설탕","타트체리농축액, 65 Birx","함수","고시형","","감미료","감미료","착색료","착색료","타트체리향1","타트체리향(합성향료, 천연향료)","13","합성향료","타트체리향2",NA,NA,NA
