"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17"
"1","번호761","품목보고번호20100543066438","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 36개월, PET,BOTTLE : 24개월","제품명파머스 석류맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","알로에","알로에분말","백설탕","액상과당","구연산","구연산","수크랄로스","젤란검","젖산칼슘","적양배추색소","식용색소적색제40호","엘에스-303실리콘 소포제","합성착향료","","알로에베라겔절편","","","","","구연산나트륨","","","","","","","석류향",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호760","품목보고번호20100543066425","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 36개월, PET,BOTTLE : 24개월","제품명파머스 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"정제수","알로에베라겔즙","기타과당","백설탕","젖산칼슘","구연산","합성향료","알로에베라겔분말","구연산삼나트륨","젤란검","수크랄로스",NA,NA,NA,"","알로에베라겔즙함유절편(알로에베라겔절편45%,알로에베라겔즙액주스54.8%,구연산)/태국산","","","","함수구연산","알로에향","알로에베라겔파우더 100:1/멕시코산","","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호759","품목보고번호20100543066437","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 36개월, PET,BOTTLE : 24개월","제품명파머스 알로에 코코넛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"정제수","알로에분말","알로에","백설탕","액상과당","구연산","구연산","수크랄로스","젤란검","젖산칼슘","합성착향료",NA,NA,NA,"","","베라겔절편","","","","구연산나트륨","","","","코코넛향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호758","품목보고번호20100543066761","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명파머스알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"정제수","알로에베라겔즙","혼합제제","백설탕","기타과당","구연산","구연산삼나트륨","젖산칼슘","젤란검","수크랄로스","합성향료",NA,NA,NA,"","태국산/알로에베라주스 54.9%, 알로에베라 45%, 구연산 0.1%","알로에베라겔파우더, 멕시코산, 알로에로 환산시 14%","","","","","","","감미료","포도향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호757","품목보고번호2014047801730","업소명이고장식품","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명파미가평 밥알건진 강황식혜","분류식품","업체명","이고장식품","소재지","전라북도 전주시 완산구 고사평7길 17(서신동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"강황뿌리줄기","엿기름","설탕","쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호756","품목보고번호200306143071133","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명파스퇴르 딸기 밀크쉐이크","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"정제수","설탕","혼합분유","유크림","덱스트린","딸기농축액","카라기난","자당지방산에스테르","자당지방산에스테르","식품첨가물혼합제제","탄산수소나트륨","락색소",NA,NA,"","","혼합탈지분유(SMP8812)","남양크림","","","카라기난 K-100","자당지방산에스테르P-1570","자당지방산에스테르S-570","딸기향 K-193777","","락색소-300피",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호755","품목보고번호200306143071134","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명파스퇴르 바닐라 밀크쉐이크","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"정제수","설탕","혼합분유","유크림","덱스트린","카라기난","자당지방산에스테르","자당지방산에스테르","식품첨가물혼합제제","탄산수소나트륨","합성향료","천연향료",NA,NA,"","","혼합탈지분유(SMP8812)","남양크림","","카라기난 K-100","자당지방산에스테르P-1570","자당지방산에스테르S-570","바닐라향 AF-19952","","밀크향 19114193","바닐라향엘에스3029L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호754","품목보고번호20060445110679","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명파워 아르기닌 5000 맥스샷","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","구연산","베리혼합농축액","효소처리스테비아","블루베리향","L-아스파트산","오르니틴염산염","감귤추출물","건조효모(셀렌함유)","효소혼합분말","글루콘산아연","비타민B1염산염","비타민B2","","","","믹스베리농축액","","","","","감귤류추출물","(셀렌)","","","","","15","16","17","비타민B6염산염","니코틴산아미드","판토텐산칼슘","","",""
"9","번호753","품목보고번호20150375129172","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명파워 아르기닌 타우린 5000","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","8","9","10","11","12","13","14","L-아르지닌","구연산(무수)","포도주스농축액","블루베리농축액","세븐베리농축액","효소처리스테비아","비타민C","타우린","블루베리향","펙틴","황금혼합추출물","글루콘산아연","마카추출분말","비타민B1염산염","L-아르기닌","","적포도주스농축액","","","","","","","","복합황금추출물","","마카추출물분말","","15","16","17","니코틴산아미드","엽산","정제수","","",""
"10","번호752","품목보고번호2017014715520","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명파워골드5000","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"L-아르기닌","타우린","비타민 B2(고시형)","판토텐산칼슘","아로니아 추출물","로얄젤리농축물","대추야자농축액","구연산","STEVIOSIDE 스테비오사이드","허브향","레몬향","비타민 B1라우릴황산염(고시형)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
