"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","성분 및 원료6","비고6","번호7","번호8","번호9","번호10","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고7","비고8","비고9","비고10"
"1","번호2044","품목보고번호2014039506613","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한60일(냉장),1년(냉동)","제품명우리쌀로 만든 냉식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","멥쌀","엿기름","백설탕","젖산칼슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2043","품목보고번호20110527046109","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명우리쌀로 만든 냉식혜(냉동)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,"엿기름","멥쌀","백설탕","정제수",NA,"국산","무농약,국산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2042","품목보고번호2014039506614","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한냉장60일, 냉동1년","제품명우리쌀로 만든 식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","뱁쌀","엿기름","백설탕","젖산칼륨","정제",NA,NA,NA,NA,NA,"6","루",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2041","품목보고번호19950611073109","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로부터 12개월(실온)","제품명우리쌀식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","멥쌀","엿기름","백설탕","물엿","DL-사과산","","겉보리엿기름","","맥아물엿","","6","안식향산나트륨","","7","8","9","10","α-아밀라아제","셀룰라아제","혼합제제","정제수","","","가드엠53-신",""
"5","번호2040","품목보고번호20080358277239","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터6개월","제품명우리쌀식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5","백설탕","쌀","정제수","엿기름","생강","","국내산","","국내산","국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2039","품목보고번호2008047829511","업소명가보자식품","품목유형혼합음료","유통/소비기한3개월","제품명우리쌀식혜","분류식품","업체명","가보자식품","소재지","전라북도 전주시 완산구 춘향로 5237(1층 대성동)","1","2","3","4","5","정제수","쌀","설탕","맥아","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2038","품목보고번호2008047829513","업소명가보자식품","품목유형혼합음료","유통/소비기한1년","제품명우리쌀식혜냉동","분류식품","업체명","가보자식품","소재지","전라북도 전주시 완산구 춘향로 5237(1층 대성동)","1","2","3","4","5","정제수","쌀","설탕","맥아","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2037","품목보고번호200604671149","업소명주식회사 현가","품목유형혼합음료","유통/소비기한냉장 15일, 냉동 1년","제품명우리쌀전통식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5","엿기름","멥쌀","백설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2036","품목보고번호2008047829512","업소명가보자식품","품목유형혼합음료","유통/소비기한3개월","제품명우리쌀호박식혜","분류식품","업체명","가보자식품","소재지","전라북도 전주시 완산구 춘향로 5237(1층 대성동)","1","2","3","4","5","정제수","쌀","늙은호박","백설탕","맥아",NA,NA,NA,NA,NA,"6","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2035","품목보고번호2008047829514","업소명가보자식품","품목유형혼합음료","유통/소비기한1년","제품명우리쌀호박식혜냉동","분류식품","업체명","가보자식품","소재지","전라북도 전주시 완산구 춘향로 5237(1층 대성동)","1","2","3","4","5","정제수","쌀","늙은호박","백설탕","맥아",NA,NA,NA,NA,NA,"6","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
