"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","성분 및 원료8","성분 및 원료9","비고8","비고9","번호10","성분 및 원료10","비고10"
"1","번호4217","품목보고번호20090242118162","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명미미다방 맑은 단호박식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5","6","7","정제수","설탕","엿기름","쌀","과.채가공품","과.채가공품","생강","","","","","단호박 페이스트","단호박 분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4216","품목보고번호20090242118161","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명미미다방 맑은 식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5",NA,NA,"정제수","설탕","엿기름","쌀","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4215","품목보고번호20090242118185","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미미다방 식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5",NA,NA,"정제수","설탕","엿기름","쌀","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4214","품목보고번호20170614111249","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명미미젤리석류콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","석류농축액","생선콜라겐분말","로커스트콩검","잔탄검","분말한천(고시형)","카라기난","타마린드검","65brix","생선콜라겐펩타이트분말","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4213","품목보고번호2008056020023","업소명발효촌","품목유형혼합음료","유통/소비기한24개월","제품명미미초바나나","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","바나나초","사과농축액","구연산","내추럴스위트","벌꿀","비타민C","폴리덱스트로스",NA,NA,NA,NA,NA,NA,NA,"8","9","스테비아추출물","정제수",NA,NA,NA,NA,NA
"6","번호4212","품목보고번호2008056020024","업소명발효촌","품목유형혼합음료","유통/소비기한24개월","제품명미미초복분자","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","복분자초","사과농축액","구연산","내추럴스위트","벌꿀","비타민C","스테비아추출물",NA,NA,NA,NA,NA,NA,NA,"8",NA,"정제수",NA,NA,NA,NA,NA,NA
"7","번호4211","품목보고번호2008056020020","업소명발효촌","품목유형혼합음료","유통/소비기한2년","제품명미미초석류","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","석류초","사과농축액","구연산","이소말토올리고당","말토올리고당","고과당","벌꿀",NA,NA,NA,NA,NA,NA,NA,"8","9","비타민C","스테비아추출물",NA,NA,"10","정제수",NA
"8","번호4210","품목보고번호2008033218038","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명미미쿡 달금머금 식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,"쌀","설탕","맥아농축액",NA,NA,NA,NA,"국내산","","엿기름(국내대맥70%,미국소맥30%)4%,정제수96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4209","품목보고번호200402945011","업소명미산식품","품목유형혼합음료","유통/소비기한제조일로부터14일(냉장),제조일로부터6개월(냉동)","제품명미산식혜","분류식품","업체명","미산식품","소재지","경기도 부천시 부천로264번길 31(1층 도당동)","1","2","3","4",NA,NA,NA,"엿기름","정제수","멥쌀","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4208","품목보고번호200402945018","업소명미산식품","품목유형혼합음료","유통/소비기한제조일로부터 14일(냉장), 제조일로부터12개월(냉동)","제품명미산식혜","분류식품","업체명","미산식품","소재지","경기도 부천시 부천로264번길 31(1층 도당동)","1","2","3","4",NA,NA,NA,"엿기름","정제수","멥쌀","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
