"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13","번호14","성분 및 원료14","비고14"
"1","번호2593","품목보고번호20100543066608","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET: 제조일로부터 24개월,   CAN: 제조일로부터 36개월","제품명알로에베라킹","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","과.채가공품","젖산칼슘","구연산","합성향료","젤란검","구연산삼나트륨","천연향료","","","태국산/알로에베라주스54.9%,알로에베라45%,구연산0.1%","유기농알로에베라겔파우더(멕시코산/유기농알로에로 환산시 22%)","","","포도향","","","포도향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2592","품목보고번호20100543066660","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET: 제조일로부터 24개월,    CAN: 제조일로부터 36개월","제품명알로에베라킹 딸기(UPC)","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","과.채가공품","구연산","젖산칼슘","혼합제제","혼합제제","합성향료","천연향료","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","딸기향베이스, 에틸말톨, 프로필렌글리콜, 주정, 정제수","코치닐추출색소, 적양배추색소, 덱스트린","딸기향, 슈가향","딸기향","11","12","13","젤란검","구연산삼나트륨","벌꿀","","","",NA,NA,NA
"3","번호2591","품목보고번호2010054306630","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로에베라킹 라즈베리","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","알로에베라겔즙","설탕","기타과당","과.채가공품","구연산","젖산칼슘","합성향료","혼합제제","젤란검","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","","","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","라즈베리향","코치닐추출색소, 적양배추색소, 덱스트린","","11","12",NA,"천연향료","구연산삼나트륨",NA,"라즈베리향","",NA,NA,NA,NA
"4","번호2590","품목보고번호2010054306621","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명알로에베라킹 리치","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","기타과당","알로에베라겔즙","과.채가공품","젖산칼슘","구연산","합성향료","천연향료","젤란검","구연산삼나트륨","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","리치향","리치향","","","11",NA,NA,"설탕",NA,NA,"",NA,NA,NA,NA,NA
"5","번호2589","품목보고번호20100543066661","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET: 제조일로부터24개월,    CAN: 제조일로부터36개월","제품명알로에베라킹 망고(UPC)","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","과.채가공품","구연산","젖산칼슘","합성향료","비타민C","젤란검","혼합제제","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","망고향","","","글리세린, 유화제, 정제수, β-카로틴(착색료), dl-α-토코페롤","11","12","13","천연향료","적양배추색소","구연산삼나트륨","망고향","","","14","벌꿀",""
"6","번호2588","품목보고번호2010054306619","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로에베라킹 복숭아","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","기타과당","알로에베라겔즙","과.채가공품","구연산","젖산칼슘","합성향료","적양배추색소","젤란검","천연향료","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","복숭아향","","","복숭아향","11","12","13","블랙커런트색소","구연산삼나트륨","설탕","","","",NA,NA,NA
"7","번호2587","품목보고번호2010054306632","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로에베라킹 블루베리","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","알로에베라겔즙","설탕","기타과당","과.채가공품","젖산칼슘","구연산","포도과피색소","합성향료","천연향료","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","","","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","","블루베리향","블루베리향","11","12","13","젤란검","적양배추색소","구연산삼나트륨","","","",NA,NA,NA
"8","번호2586","품목보고번호20100543066663","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET: 제조일로부터24개월,    CAN: 제조일로부터36개월","제품명알로에베라킹 석류(UPC)","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","과.채가공품","구연산","젖산칼슘","합성향료","혼합제제","천연향료","젤란검","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","석류향","코치닐추출색소, 적양배추색소, 덱스트린","석류향","","11","12",NA,"구연산삼나트륨","벌꿀",NA,"","",NA,NA,NA,NA
"9","번호2585","품목보고번호20100543066470","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET/BOTTLE : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명알로에베라킹 수박","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","과.채가공품","젖산칼슘","구연산","합성향료","혼합제제","젤란검","천연향료","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","수박향","코치닐추출색소, 적양배추색소, 덱스트린","","멜론향","11","12",NA,"구연산삼나트륨","천연향료",NA,"","수박향",NA,NA,NA,NA
"10","번호2584","품목보고번호20100543066331","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 제조일로부터 36개월, PET,BOTTLE : 제조일로부터 24개월","제품명알로에베라킹 슈가프리","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","알로에베라겔즙","과.채가공품","젖산칼슘","합성향료","구연산","젤란검","구연산삼나트륨","천연향료","수크랄로스","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","포도향","","","","포도향","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
