"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호2713","품목보고번호2010018127957","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18 개월","제품명아이스톡 청포도에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","백설탕","백포도농축액","구연산","정제소금","아세설팜칼륨","수크랄로스","메타인산나트륨","식용색소황색제5호","식용색소청색제1호","청포도향","청포도향","","","","","","","","","","","W-193503","W-195751",NA,NA,NA
"2","번호2712","품목보고번호20090473152465","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명아이스톡 청포도에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","12","정제수","백설탕","백포도농축액","구연산","정제소금","청포도향","청포도향","아세설팜칼륨","수크랄로스","메타인산나트륨","식용색소청색제1호","식용색소황색제5호","","","","","","합성착향료","합성착향료","","","","합성착색료","합성착색료",NA,NA,NA
"3","번호2711","품목보고번호2010018127969","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 14개월","제품명아이스톡 키위에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","백설탕","키위퓌레","구연산","구연산삼나트륨","수크랄로스","잔탄검","메타인산나트륨","식용색소청색제1호","식용색소황색제5호","키위향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2710","품목보고번호20090473152468","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 14개월","제품명아이스톡 키위에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","백설탕","키위퓌레","구연산","키위향","구연산삼나트륨","잔탄검","수크랄로스","메타인산나트륨","식용색소청색제1호","식용색소황색제5호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2709","품목보고번호20090473152469","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명아이스톡 타트체리에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","12","정제수","백설탕","체리농축액","구연산","체리향","포도향","정제소금","아세설팜칼륨","수크랄로스","메타인산나트륨","식용색소적색제40호","식용색소청색제1호","","","","함수","","","","","","","","",NA,NA,NA
"6","번호2708","품목보고번호2010018127968","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 14개월","제품명아이스톡 패션망고에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","백설탕","망고농축퓌레","패션후르츠맛농축액","구연산","정제소금","수크랄로스","아세설팜칼륨","식용색소황색제5호","망고향","후르츠향","시트러스향","","","","","함수","","","","","","","",NA,NA,NA
"7","번호2707","품목보고번호20090473152470","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 14개월","제품명아이스톡 패션망고에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","12","정제수","백설탕","망고농축퓌레","구연산","패션후르츠맛농축액","망고향","후르츠향","정제소금","아세설팜칼륨","수크랄로스","시트러스향","식용색소황색제5호","","","","함수","","","","","","","","",NA,NA,NA
"8","번호2706","품목보고번호20070464094415","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아이스톡 피치베라 에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","알로에베라겔크러쉬","설탕","기타과당","구연산(무수)","구연산삼나트륨","젖산칼슘","수크랄로스","식용색소황색제4호","식용색소적색제40호","복숭아향","정제수","젤란검",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","복숭아농축액",NA
"9","번호2705","품목보고번호20100543066232","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명아이스티 레몬","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9",NA,NA,NA,"레몬청징농축액","홍차추출분말","백설탕","액상과당","구연산","구연산삼나트륨","비타민C","합성착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2704","품목보고번호20100543066233","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명아이스티 복숭아","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10",NA,NA,"복숭아청징농축액","홍차추출분말","백설탕","액상과당","구연산","구연산삼나트륨","비타민C","합성착","향료(복숭아향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
