"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고9","비고10","비고11","비고12","비고13"
"1","번호5342","품목보고번호20100543066400","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명꿀대추","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","정제수","기타과당","사양벌꿀","대추농축액","수크랄로스","카라멜색소","구연산","합성향료","","","국내산","국내산, 고형분 60%이상","감미료","","","대추향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5341","품목보고번호19800538053138","업소명(주)창성","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명꿀목","분류식품","업체명","(주)창성","소재지","경상북도 경주시 공단로 73(황성동)","1","2","3","4","5","6","7","8","백설탕","배농축액","레몬농축액","구연산(무수)","도라지농축액","대추농축액","벌꿀","정제수","","","","","","대추엑스","아카시아꿀","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5340","품목보고번호19780368002339","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명꿀물","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","홍삼농축액","벌꿀","사과청징농축액","액상과당","효소처리스테비아","시클로덱스트린","구연산","비타민C","","","","","","","","","9","10","11","12","13","홍차추출분말","폼크린200","합성착향료","합성착향료","정제수","","","인삼향","벌꿀향",""
"4","번호5339","품목보고번호20020623009295","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","사양벌꿀","액상과당","말토덱스트린","비타민C","시클로덱스트린","벌꿀향","수크랄로스","폴리소르베이트80","","","","영양강화제","","합성착향료","합성감미료","","9","10","11",NA,NA,"대추농축액","카라멜색소","정제수",NA,NA,"고형분68%이상","","",NA,NA
"5","번호5338","품목보고번호19960458039664","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명꿀물","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","사양벌꿀","백설탕","액상과당","덱스트린","수크랄로스","구연산","카라멜색소","향료","","","","","","함수","","꿀향(DF-220819)","9","10",NA,NA,NA,"향료","정제수",NA,NA,NA,"꿀향(SC-220805)","",NA,NA,NA
"6","번호5337","품목보고번호201104920402","업소명드림인영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명꿀물드림","분류식품","업체명","드림인영농조합법인","소재지","전라북도 남원시 인월면 천왕봉로 54","1","2","3","4","5",NA,NA,NA,"정제수","벌꿀","사과농축액","홍삼허브농축액","비타민",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5336","품목보고번호20080358277249","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명꿀물아밀","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2",NA,NA,NA,NA,NA,NA,"전통식혜","사양벌꿀",NA,NA,NA,NA,NA,NA,"느린식혜","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5335","품목보고번호20000614238351","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명꿀보리헛개","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","보리농축액","헛개나무열매추출분말","사양벌꿀","물엿","설탕","혼합제제","보리향","허니향","","","","맥아엿","","곡물향","","","9","10",NA,NA,NA,"안식향산나트륨","정제수",NA,NA,NA,"","",NA,NA,NA
"9","번호5334","품목보고번호20000614238384","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명꿀유자에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","사양벌꿀","유자청징농축액","설탕","구연산","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","11","12","13","유자향","유자향","허니향","식용색소황색제4호","정제수",NA,NA,NA,NA,NA
"10","번호5333","품목보고번호19780614001363","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명꿀홍삼","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","홍삼농축액","벌꿀","사과청징농축액","액상과당","효소처리스테비아","시클로덱스트린시럽","구연산","비타민C","","아카시아벌꿀","","","","","","","9","10","11","12","13","홍차추출분말","혼합제제","벌꿀향","인삼향","정제수","","폼크린200","","",""
