"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16"
"1","번호5767","품목보고번호19950622022148","업소명농업회사법인 동의바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명pure cell plus","분류식품","업체명","농업회사법인 동의바이오 주식회사","소재지","경상남도 산청군 단성면 동방실로 80-22","1","2","정제수","황산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5766","품목보고번호19860443015345","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명re:tune (리튠) 녹용홍삼 골드(GOLD)앰플","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","정제수","올리고당","","프락토올리고당","3","4","5","6","7","8","9","10","11","12","13","14","15","16","난소화성말토덱스트린(고시형)","사양벌꿀","식물혼합농축액","포도농축액","발효홍삼농축액","대추농축액","맥아추출액","황금혼합추출물","DL-사과산","녹용분말","식물혼합추출농축액","구연산삼나트륨","나한과추출물분말","녹용혼합추출액","","","식물혼합농축액 LG-DB","적포도농축액","발효홍삼농축액R","","맥아추출물","복합황금추출물","","발효녹용추출분말","LG CYJ_7mix","","나한과추출분말","녹용등복합추출물"
"3","번호5765","품목보고번호19970443044353","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명re:tune 마누카꿀진액 골드","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","정제수","프락토올리고당","","프락토올리고당F250","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타과당","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","마누카꿀(콤비타 유엠에프 5+ 마누카꿀)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5764","품목보고번호1999046705092","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한2년","제품명rix 아로니아","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","아로니아농축액","과당","2.5 brix(폴란드산)","액상과당","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,"포도농축액","백설탕","구연산","배농축액","구연산삼나트륨","카르복시메틸셀룰로오스나트륨","카라멜액","체리레드색소","아로니아향","DL-사과산","안식향산나트륨","아세설팜칼륨","정제수",NA,"","정백당","","","","C.M.C(증점제)","액상카라멜","체리칼라","합성착향료","","합성보존료","","",NA
"5","번호5763","품목보고번호1999046705091","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한2년","제품명rix 아사이베리","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","아사이베리혼합농축액","과당","2.5 brix(브라질산)","액상과당","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"포도농축액","백설탕","구연산","딸기농축액","구연산삼나트륨","카르복시메틸셀룰로오스나트륨","카라멜액","체리레드색소","DL-사과산","안식향산나트륨","아세설팜칼륨","정제수",NA,NA,"","정백당","","","","C.M.C(증점제)","액상카라멜","체리칼라","","합성보존료","","",NA,NA
"6","번호5762","품목보고번호198604350131220","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명4sec. 애플사이다비니거 사초앰플","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","정제수","발효식초","","사과식초(애플사이다비니거)","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,"프락토올리고당","자일리톨","과일채소혼합농축액","레몬과즙","맥아추출액","레몬향","펙틴","구연산","효소처리스테비아","염화칼륨",NA,NA,NA,NA,"","","(ABC농축액)(고형분 53%)","레몬과즙농축액(고형분 65%)","맥아추출물(고형분 40%)","(향료)","","","","(칼륨 52%)",NA,NA,NA,NA
"7","번호5761","품목보고번호19710570001611","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한12개월","제품명sunkist바나나","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","바나나농축액","당시럽류","","","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,"구연산","DL-사과산","정제소금","수크랄로스","아세설팜칼륨","시트러스향","합성향료","정제수",NA,NA,NA,NA,NA,NA,"","","","","","","바나나향","",NA,NA,NA,NA,NA,NA
"8","번호5760","품목보고번호19920624042451","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명tara Sac's GUAVA NATADECOCO","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","구아바농축액","백설탕",NA,NA,"3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,"구연산","구연산삼나트륨","안식향산나트륨","나타드코코","화이트크라우디","구아바향","구아바향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5759","품목보고번호20090473152400","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명the 슬로우메이드 브레인캐슬 3","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","기타과당","과.채가공품","","식물추출혼합물","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,"석류농축액","벌꿀","에리스리톨","타우린","수크랄로스","비타민C","비타민B1염산염","비타민B2","비타민B6염산염","구연산","니코틴산아미드","석류향","정제수",NA,"64bx 스페인산","잡화꿀, 국내산","","","","","","","","","","석류향#4 FC-18409","",NA
"10","번호5758","품목보고번호20090473152401","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명the 슬로우메이드 브레인캐슬 비타민7","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","기타과당","벌꿀","","잡화꿀, 국내산","3","4","5","6","7","8","9","10","11","12","13","14","15","16","에리스리톨","타우린","수크랄로스","비타민C","비타민B1염산염","비타민B2","비타민B6염산염","비타민 B12(고시형)","엽산","니코틴산아미드","판토텐산칼슘","구연산","드링크향","정제수","","","","","","","","","","","","","드링크향#1 (FC-78113)",""
