"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5"
"1","번호1953","품목보고번호201402025506","업소명햇살깃든식혜","품목유형혼합음료","유통/소비기한2개월","제품명유기농 햇살깃든 꾸지뽕식혜","분류식품","업체명","햇살깃든식혜","소재지","경기도 화성시 팔탄면 서근내길 52-10","1","2","3","4","5","쌀","엿기름","꾸지뽕가루","설탕","정제수","유기농쌀","유기농엿기름","유기농꾸지뽕가루","유기농설탕",""
"2","번호1952","품목보고번호201402025504","업소명햇살깃든식혜","품목유형혼합음료","유통/소비기한2개월","제품명유기농 햇살깃든 단호박식혜","분류식품","업체명","햇살깃든식혜","소재지","경기도 화성시 팔탄면 서근내길 52-10","1","2","3","4","5","정제수","단호박","엿기름","설탕","쌀","","유기농단호박","유기농엿기름","유기농설탕","유기농쌀"
"3","번호1951","품목보고번호201402025502","업소명햇살깃든식혜","품목유형혼합음료","유통/소비기한2개월","제품명유기농 햇살깃든 오미자식혜","분류식품","업체명","햇살깃든식혜","소재지","경기도 화성시 팔탄면 서근내길 52-10","1","2","3","4","5","쌀","엿기름","오미자","설탕","정제수","","유기농","유기농","유기농",""
"4","번호1950","품목보고번호201402025501","업소명햇살깃든식혜","품목유형혼합음료","유통/소비기한2개월","제품명유기농 햇살깃든 일반식혜","분류식품","업체명","햇살깃든식혜","소재지","경기도 화성시 팔탄면 서근내길 52-10","1","2","3","4",NA,"쌀","엿기름","설탕","정제수",NA,"유기농쌀","유기농엿기름","유기농설탕","",NA
"5","번호1949","품목보고번호201402025503","업소명햇살깃든식혜","품목유형혼합음료","유통/소비기한2개월","제품명유기농 햇살깃든 현미식혜","분류식품","업체명","햇살깃든식혜","소재지","경기도 화성시 팔탄면 서근내길 52-10","1","2","3","4",NA,"정제수","설탕","엿기름","현미",NA,"","유기농설탕","유기농엿기름","유기농현미",NA
"6","번호1948","품목보고번호201402025505","업소명햇살깃든식혜","품목유형혼합음료","유통/소비기한2개월","제품명유기농 햇살깃든 현미자색고구마식혜","분류식품","업체명","햇살깃든식혜","소재지","경기도 화성시 팔탄면 서근내길 52-10","1","2","3","4","5","정제수","자색고구마","엿기름","설탕","현미","","유기농자색고구마","유기농엿기름","유기농설탕","유기농현미"
"7","번호1947","품목보고번호19890445014863","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명유기농 홍삼애 속편한 양배추","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3",NA,NA,"양배추추출액","홍삼추출액","사과농축액",NA,NA,"유기농양배추","","유기농사과농축액",NA,NA
"8","번호1946","품목보고번호2011052704691","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명유기농냉식혜(냉동)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,"엿기름","설탕","멥쌀","정제수",NA,"유기농,국산","유기농","유기농, 밥알함량기준으로6.25%,국산","",NA
"9","번호1945","품목보고번호19970368029314","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한12개월(실온)","제품명유기농밥알없이맑은식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,"곡류가공품","설탕","쌀","정제수",NA,"유기농엿기름추출액 / 유기농엿기름 21.05%, 정제수 78.95%","유기농","유기농","",NA
"10","번호1944","품목보고번호2010052806665","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 1년","제품명유기농복분자식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","복분자발효액","엿기름당화액","설탕","쌀","정제수","유기농","유기농","유기농","유기농",""
