"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호...54","성분 및 원료","비고"
"1","번호4167","품목보고번호20110084489133","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명미친젤리 트로피칼맛","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","에리스리톨","혼합제제","트로피칼향혼합제제","구연산","열대과일혼합농축액","시트러스향","서류가공품","코치닐추출색소","수크랄로스","아프리카망고씨앗추출물분말","타우린","혼합제제","혼합제제","","","슈퍼겔/수퍼겔","트로피칼향","함수구연산","열대혼합과일농축액","","곤약검","레드칼라PB","","아프리칸(와일드)망고종자추출분말","","비타민B군혼합제제/비타민B군믹스","아미노산혼합제제/아미노믹스",NA,NA,NA
"2","번호4166","품목보고번호2013062007173","업소명재단법인 남해마늘연구소","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미태","분류식품","업체명","재단법인 남해마늘연구소","소재지","경상남도 남해군 이동면 남해대로 2465-8","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"정제수","에리스리톨","D-말티톨","미역 등 복합추출물","레몬농축액","유자착즙액","혼합제제","비타민미네랄혼합제제","구연산",NA,NA,NA,NA,NA,"","","","미역감태복합추출물","","","검믹스","","",NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4165","품목보고번호2017014715525","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명미토리 100% 블루베리즙","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"블루베리농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4164","품목보고번호2017014715526","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명미토리 100% 아로니아즙","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"아로니아농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4163","품목보고번호2017014715523","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명미토리 100% 양배추즙","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","양배추추출액",NA
"6","번호4162","품목보고번호2017014715521","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명미토리 스무살 석류즙","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4161","품목보고번호2017014715524","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명미토리 통 흑마늘즙","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"흑마늘농축액","식물혼합추출액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4160","품목보고번호2017014715517","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명미토리100%토마토즙","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","토마토추출물",NA
"9","번호4159","품목보고번호2017014715528","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명미토리100%황금호박즙","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","호박",NA
"10","번호4158","품목보고번호2017014715547","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명미토리다담은흑마늘즙","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","흑마늘","홍삼","마카과립","L-아르기닌(기능성원료인정제2015-19호)","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","펙티나아제,셀룰라아제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
