"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","성분 및 원료6","비고6","번호7","성분 및 원료7","비고7"
"1","번호1523","품목보고번호201504790212","업소명행복한아시아예일푸드","품목유형혼합음료","유통/소비기한3개월","제품명전주전통호박식혜(냉동)","분류식품","업체명","행복한아시아예일푸드","소재지","전라북도 전주시 완산구 효동2길 23(효자동1가, 지하1층)","1","2","3","4","5","엿기름","정제수","단호박","정제소금","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1522","품목보고번호201504790213","업소명행복한아시아예일푸드","품목유형혼합음료","유통/소비기한15일","제품명전주전통호박식혜(냉장)","분류식품","업체명","행복한아시아예일푸드","소재지","전라북도 전주시 완산구 효동2길 23(효자동1가, 지하1층)","1","2","3","4","5","엿기름","정제수","단호박","멥쌀","정제소금","엿기름 추출물","","","","","6","생강","",NA,NA,NA
"3","번호1521","품목보고번호2020035416029","업소명전주희약선푸드","품목유형혼합음료","유통/소비기한제조일로12개월","제품명전주희 약선 전통식혜","분류식품","업체명","전주희약선푸드","소재지","경기도 시흥시 능곡로76번길 5(화정동)","1","2","3","4","5","정제수","엿기름","쌀","액상과당","분말결정포도당",NA,NA,NA,NA,NA,"6","정제소금",NA,"7","생강",NA
"4","번호1520","품목보고번호200501202003","업소명맛있는식품","품목유형혼합음료","유통/소비기한6개월","제품명전통선식혜","분류식품","업체명","맛있는식품","소재지","서울특별시 강동구 명일로 219(지층층 길동)","1","2","3","4",NA,"엿기름","멥쌀","설탕","정제수",NA,"보리엿기름[겉보리(국산),밀(미국산)]","멥쌀(국산)","","",NA,NA,NA,NA,NA,NA,NA
"5","번호1519","품목보고번호20080358277230","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명전통수정과","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5","정제수","계피","생강","설탕","곶감","","","국내산","유기농설탕","국내산",NA,NA,NA,NA,NA,NA
"6","번호1518","품목보고번호19970368029270","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명전통수정과","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","계피추출액","설탕","생강","곶감","정제수","계피추출액(정제수82.59%,계피17.41)","유기농설탕","","","",NA,NA,NA,NA,NA,NA
"7","번호1517","품목보고번호200603682141","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터6개월(냉동보관)","제품명전통수정과","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","5","계피","건생강","흑설탕","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1516","품목보고번호20080358277229","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명전통식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4",NA,"정제수","설탕","쌀","엿기름",NA,"","유기농설탕","무농약쌀","",NA,NA,NA,NA,NA,NA,NA
"9","번호1515","품목보고번호2009047004310","업소명옥경식품","품목유형혼합음료","유통/소비기한50일","제품명전통식혜","분류식품","업체명","옥경식품","소재지","충청남도 부여군 장암면 의자로1235번길 167-7","1","2","3","4","5","정제수","엿기름","찹쌀","설탕","멥쌀","","국내산","","국내산","국내산","6","생강","국내산",NA,NA,NA
"10","번호1514","품목보고번호19970368029343","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명전통식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","곡류가공품","설탕","쌀","기타가공품","비타민C","엿기름추출액 / 엿기름 2.98%, 정제수 3.90%","","","생생강농축액 / 생강98.18%,말토텍스트린1.27%,정제염0.55%","","6","정제수","",NA,NA,NA
