"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","성분 및 원료13","비고13"
"1","번호5442","품목보고번호201804442707","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명그린팜스토리 파인애플에이드","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","정제수","백설탕","파인애플농축액","구연산","파인애플향","구연산삼나트륨","안식향산나트륨","수크랄로스","식용색소황색제4호","","","","","합성착향료","산도조절제","보존료","합성감미료","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5441","품목보고번호201804442706","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명그린팜스토리 포도에이드","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","정제수","백설탕","포도농축액","구연산","포도향","구연산삼나트륨","식용색소적색제40호","식용색소적색제2호","식용색소청색제1호","","","68Brix","","합성착향료","산도조절제","착색료","착색료","착색료","10","11","안식향산나트륨","수크랄로스","보존료","합성감미료",NA,NA,NA,NA,NA,NA
"3","번호5440","품목보고번호201804442701","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명그린팜스토리레몬에이드","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","정제수","백설탕","구연산","레몬농축액","레몬향","라임향","구연산삼나트륨","안식향산나트륨","수크랄로스","","","","65Brix 이스라엘산","합성착향료","합성착향료","산도조절제","보존료","합성감미료","10",NA,"베타카로틴혼합제제",NA,"색소",NA,NA,NA,NA,NA,NA,NA
"4","번호5439","품목보고번호201804442703","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명그린팜스토리블루베리에이드","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","정제수","백설탕","블루베리농축액","구연산","블루베리향","구연산삼나트륨","안식향산나트륨","수크랄로스","포도향","","","67Brix","","합성착향료","산도조절제","보존료","감미료","합성착향료","10","11","식용색소적색제40호","식용색소청색제1호","착색료","착색료","12","포도농축액","",NA,NA,NA
"5","번호5438","품목보고번호201804442702","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명그린팜스토리석류에이드","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","정제수","백설탕","석류농축액","구연산","석류향","구연산삼나트륨","식용색소적색제40호","안식향산나트륨","수크랄로스","","","65Brix","","합성착향료","산도조절제","착색료","보존료","합성감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5437","품목보고번호1988044200452","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로부터6개월","제품명그린포셀","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4",NA,NA,NA,NA,NA,"Xn-fraction","노니과즙","단풍당","적와인농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5436","품목보고번호20110214381509","업소명달심F&B","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명그린프로틴","분류식품","업체명","달심F&B","소재지","광주광역시 북구 무등로 153(1,3층 신안동)","1","2","3","4","5",NA,NA,NA,NA,"두부","바나나","바나나농축액","분리대두단백","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5435","품목보고번호2007055811132","업소명농업회사법인주식회사 한농","품목유형혼합음료","유통/소비기한12개월","제품명극찬 식혜","분류식품","업체명","농업회사법인주식회사 한농","소재지","경상북도 문경시 농암면 승리동길 9","1","2","3","4",NA,NA,NA,NA,NA,"건조맥아","멥쌀","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5434","품목보고번호19990555093390","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명근의 공식","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","식물혼합추출액","오미자추출액","프락토올리고당","비타민C","오미자향","대추농축액","칡농축액","홍삼농축액","타우린","","","","","","","","6년근, 국산, 고형분 60%이상, 홍삼성분 70mg/g이상 ※원료삼 배합비율: 홍삼근 70% 홍미삼 30%","","10","11","혼합허브추출물","수크랄로스","복합허브추출물","","12","니코틴산아미드","","13","비타민B2",""
"10","번호5433","품목보고번호200302570112","업소명(주)아너텍","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명글라세","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2","3",NA,NA,NA,NA,NA,NA,"정제수","L-CARNITINE BASE","용존산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
