"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","번호21","번호22","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고20","비고21","비고22","번호...78","성분 및 원료","비고"
"1","번호4077","품목보고번호20090435035277","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명반헤스 비타 락토업","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","프락토올리고당","정제수","청사과향","구연산","사과농축액","폴리덱스트로스","자일리톨","덱스트린","효소처리스테비아","비타민 C(고시형)","김치유산균혼합분말","구연산삼나트륨","니코틴산아미드(고시형)","분말비타민A혼합제제","판토텐산칼슘(고시형)","비타민D3혼합제제","비타민 B1염산염(고시형)","비타민B6염산염","비오틴","","","","무수구연산","","","","말토덱스트린","","","플란타김치유산균-10","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4076","품목보고번호20090435035280","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명반헤스 비타 스킨업","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","프락토올리고당","정제수","석류농축액","석류향","구연산(무수)","생선콜라겐펩타이드","자일리톨","효소처리스테비아","비타민 C(고시형)","구연산삼나트륨","니코틴산아미드(고시형)","타우린","비타민 A 혼합제제","판토텐산칼슘(고시형)","비타민D3혼합제제","식용색소적색제40호","비타민B6염산염","비타민B1염산염","비타민 B2(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","21","22","엽산(고시형)","비오틴(고시형)","비타민 B12(고시형)",NA,NA,NA,NA,NA,NA
"3","번호4075","품목보고번호20090435035281","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명반헤스 비타 헬프업","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","프락토올리고당","정제수","레몬향","구연산(무수)","레몬농축액","자일리톨","효소처리스테비아","비타민 C(고시형)","구연산삼나트륨","마늘농축액","니코틴산아미드(고시형)","타우린","분말비타민A혼합제제","판토텐산칼슘(고시형)","비타민D3혼합제제","비타민B6염산염","비타민B1염산염","비타민 B2(고시형)","식용색소황색제4호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","21","22","엽산(고시형)","비오틴(고시형)","비타민 B12(고시형)",NA,NA,NA,NA,NA,NA
"4","번호4074","품목보고번호20030415157428","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명발효 녹용 홍삼 진(眞)","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,"정제수","혼합농축액","사양벌꿀","발효홍삼농축액","녹용발효추출분말","대추농축액","자일리톨혼합제제","산수유추출분말","구연산","잔탄검","효소처리스테비아","황금혼합추출물",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4073","품목보고번호20180504025152","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한24개월","제품명발효 우슬 비책","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,"발효쇠무릅뿌리농축액","프락토올리고당","버드나무가지껍질추출분말","황칠나무추출분말","참당귀분말","초록입홍합분말","보스웰리아추출물분말","글루코사민염산염분말(고시형)","감귤류추출액","해조칼슘","효소처리스테비아","사양벌꿀","액상차","구연산","구연산삼나트륨",NA,NA,NA,NA,"발효우슬농축액(45brix, 국내산)","국내산","중국산","","참당귀농축분말","","","","","","효소처리스테비율배당체","","제주구아바백야초원액(국내산)","함수구연산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4072","품목보고번호2019046794817","업소명송악농협식품사업부","품목유형혼합음료","유통/소비기한24개월","제품명발효닥터 시벅썬베리","분류식품","업체명","송악농협식품사업부","소재지","충청남도 아산시 송악면 도송로 372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","과.채가공품","발효시벅썬베리혼합액"
"7","번호4071","품목보고번호1997030815815","업소명(주)키토라이프","품목유형혼합음료","유통/소비기한제조일부터24월","제품명발효수용성키토산용액","분류식품","업체명","(주)키토라이프","소재지","경기도 평택시 산단로197번길 73(칠괴동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"키토산","발효유기산칼슘","말티톨혼합제재","비타민C","정제수","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4070","품목보고번호2008056020038","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명발효초 노니","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"노니농축액","정제수","올리고당","기타과당","주정","사과농축액","벌꿀","비타민C","구연산","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5Brix / 베트남산","","","고과당","","72Brix / 국내산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4069","품목보고번호2008056020036","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명발효초 무화과","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"무화과농축액","정제수","이소말토올리고당","액상과당","사과농축액","구연산","비타민C","효소처리스테비아","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.5Brix 이란산","","","고과당","72Brix 국산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4068","품목보고번호2008056020028","업소명발효촌","품목유형혼합음료","유통/소비기한24개월","제품명발효초 복숭아","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"복숭아농축액","이소말토올리고당","고과당","주정","사과농축액","벌꿀","구연산","비타민C","스테비아추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
