"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27"
"1","번호2843","품목보고번호20090624059467","업소명농업회사법인(주)힐링팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르코어 L 아르기닌 액티브 퀵 5000","분류식품","업체명","농업회사법인(주)힐링팜","소재지","경상남도 거창군 남상면 밤티재로 1007(창고 : 남상면 수남로 1861-54)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","정제수","L-아르지닌","구연산","포도농축액","블루베리농축액","레몬농축액","혼합제제","비타민C","타우린","천연향료(Lemon)","글루콘산아연","비타민E혼합제제","포도향","황금혼합추출물","마카추출분말","비수리농축액","복분자추출물분말","인삼열매추출분말","니코틴산아미드","기타가공품","비타민D3혼합제제","비타민B6염산염","과.채가공품","과.채가공품","프로테아제(식물성)","아세로라추출분말","비타민B1염산염","","","함수구연산","적포도농축액","블루베리주스농축액","","","","","천연레몬향","","","적포도향,합성향료","복합황금추출물","블랙마카추출물","","복분자추출분말","","","피비티-원 파라바이오틱스","","","빌베리농축분말","타트체리농축분말","파파인 T100MG","",""
"2","번호2842","품목보고번호20110084489403","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르코어 L 아르기닌 액티브 퀵 5000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","정제수","L-아르지닌","구연산","Red grape농축액","블루베리주스농축액","레몬농축액","효소처리스테비아","비타민C","타우린","향료","글루콘산아연","혼합제제","혼합제제","기타가공품","마카추출분말","비수리분말","복분자추출물분말","인삼열매추출분말","니코틴산아미드","기타가공품","혼합제제","비타민B6염산염","미르틸루스산앵도추출물분말","체리농축분말","프로테아제(식물성)","아세로라추출분말","비타민B1염산염","","","함수구연산","적포도주스농축액","","","","","","천연레몬향/천연향료","","비타민E혼합제제","블루베리향","복합황금추출물","블랙마카추출물","비수리농축분말","복분자추출분말","","","피비티-원 파라바이오틱스","비타민D3혼합제제","","빌베리추출물분말","몽모랑시타트체리농축분말","브로멜라인 비알1200","",""
"3","번호2841","품목보고번호20080181270231","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르포텐","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","배농축액","L-아르지닌","구연산(무수)","타우린","DL-사과산","비타민C","L-글루타민","이노시톨","L-카르니틴","식품첨가물혼합제제","향료","향료","향료","오르니틴염산염","수크랄로스","과.채가공품","L-아스파트산","글루콘산아연",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","비타민 프리믹스 바이탈리티 알티디 XW15469304","배향","배향","드링크향","","","수박과피추출분말","","",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2840","품목보고번호20190473161162","업소명(주)휴온스푸디언스금산3공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아리즈웰베리플러스","분류식품","업체명","(주)휴온스푸디언스금산3공장","소재지","충청남도 금산군 금산읍 인삼광장로 19(금산인삼농협국제유통센타 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-아르지닌","프락토올리고당","구연산(무수)","블루베리농축액","포도농축액","아로니아농축액","분말결정포도당","펙틴","효소처리스테비아","글루콘산아연","기타가공품","향료","마카추출분말","비타민C","엽산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","고형분 60%","적포도농축액, 고형분 60%","고형분 60%","","","","","수용성복합마늘추출물(BGC-FW), 품목보고번호:2008036040558","블루베리향#8","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2839","품목보고번호20190473161165","업소명(주)휴온스푸디언스금산3공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아리즈웰트리플바이오틱스","분류식품","업체명","(주)휴온스푸디언스금산3공장","소재지","충청남도 금산군 금산읍 인삼광장로 19(금산인삼농협국제유통센타 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엽산","비타민C","마카추출분말","블루베리향","기타가공품","기타가공품","효소처리스테비아","펙틴","분말결정포도당","아로니아농축액","포도농축액","구연산(무수)","블루베리농축액","L-아르지닌","프락토올리고당","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","마카엑스피엔","합성향료","수용성복합마늘추출물(BGC-FW), 품목보고번호:2008036040558","유산균배양분말(EF-2001 유산균사균체분말)]","","","","고형분 60%","적포도농축액, 고형분 60%","","고형분 60%","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2838","품목보고번호201703760542","업소명(주)비티팜(BT Farm Inc)","품목유형혼합음료","유통/소비기한제조일로 부터 실온보관 시 1년","제품명아마란스 음료","분류식품","업체명","(주)비티팜(BT Farm Inc)","소재지","경기도 연천군 연천읍 문화로 37","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"아마란스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2837","품목보고번호2016052105353","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한해당없음.","제품명아머드사우르스 사과맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","사과농축액","구연산","합성향료","자일리톨","젖산칼슘","비타민C","홍삼농축액","비타민D3 분말","비타민B6염산염","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","칠레산70Bxº","","사과향","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2836","품목보고번호2016052105354","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한해당없음.","제품명아머드사우르스 포도맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","포도농축액","구연산(무수)","합성향료","젖산칼슘","액상과당","덱스트린","비타민C","수크랄로스","비타민D3 분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","적포도농축액67 Bxº칠레산","","포도향","","","말토덱스트린","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2835","품목보고번호2007052601411","업소명주식회사 이미라클","품목유형혼합음료","유통/소비기한1년","제품명아메존","분류식품","업체명","주식회사 이미라클","소재지","전라남도 함평군 신광면 신광중앙길 21(외 1필지)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","비타믹스D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","비타믹스(혼합제제 식품첨가물)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2834","품목보고번호1985044900196","업소명삼육식품","품목유형혼합음료","유통/소비기한제조일로부터 6 개월","제품명36 아몬드 (언스위트)","분류식품","업체명","삼육식품","소재지","충청남도 천안시 서북구 직산읍 성진로 354-13","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","자당지방산에스테르","탄산칼슘","정제소금","카라기난","식품첨가물","향료","향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"아몬드액","","","","카라기난GS-16356","겔코켈  LT-100(젤란검)","아몬드향 FAC-07587","밀크향AF-14562","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
