"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12"
"1","번호1433","품목보고번호19930571069335","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한12개월","제품명제주 한라봉 에이드","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","한라봉퓌레","백설탕","구연산","구연산삼나트륨","젖산칼슘","비타민C","젤란검","수크랄로스","카로틴색소","한라봉향","정제수","한라봉당침퓨레","","","","","","","","","","",NA,NA,NA
"2","번호1432","품목보고번호20050555180718","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주 한라봉에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","한라봉농축액","구연산","한라봉향","DL-사과산","시트러스향","구연산삼나트륨","잔탄검","수크랄로스","식용색소황색제5호","","","한라봉 100%","","혼합제제A","사과산","혼합제제B","","","","","12","식용색소황색제4호",""
"3","번호1431","품목보고번호2013062801952","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한12개월","제품명제주 한라수(JEJU Halla Su)","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1430","품목보고번호201906215272","업소명(주)더메리트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명제주 화산수","분류식품","업체명","(주)더메리트","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-19(용암해수2호관 A동 3층 303호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,"용암해수탈염수","용암해수미네랄수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1429","품목보고번호2013062801964","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명제주 황칠구아바워터","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","황칠나무추출물","구아바추출액","L아스코르빈산나트륨(고시형)","탄산수소나트륨","한라봉향","한라봉향",NA,NA,NA,NA,"","고형분 함량 0.15% 이상","고형분함량 0.05% 이상","","","","",NA,NA,NA,NA,NA,NA,NA
"6","번호1428","품목보고번호2013062801965","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명제주 황칠조릿대워터","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","황칠나무추출물","제주조릿대","L아스코르빈산나트륨(고시형)","탄산수소나트륨","현미향","식품첨가물혼합제제",NA,NA,NA,NA,"","고형분 함량 0.15% 이상","조릿대 추출액, 고형분 함량 0.05% 이상","","","","혼합차향",NA,NA,NA,NA,NA,NA,NA
"7","번호1427","품목보고번호19920624042825","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주감귤","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","액상과당","과.채가공품","구연산","구연산삼나트륨","비타민C","합성향료","합성향료",NA,NA,NA,"","","감귤농축액(60Bx)국산","결정","","","KLG-360","91-1204B",NA,NA,NA,NA,NA,NA
"8","번호1426","품목보고번호19960571018606","업소명우일음료","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주감귤","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7",NA,NA,NA,NA,"감귤농축액","기타과당","구연산","구연산삼나트륨","비타민C","합성향료","정제수",NA,NA,NA,NA,"60Bx","","","","","오렌지향","",NA,NA,NA,NA,NA,NA,NA
"9","번호1425","품목보고번호19710570001615","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한12개월","제품명제주감귤","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","7",NA,NA,NA,NA,"감귤농축액","기타과당","구연산","구연산삼나트륨","비타민C","합성향료","정제수",NA,NA,NA,NA,"60bx","","","","","오렌지향","",NA,NA,NA,NA,NA,NA,NA
"10","번호1424","품목보고번호19780368002554","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주감귤","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8",NA,NA,NA,"감귤농축액","액상과당","구연산","구연산삼나트륨","비타민C","합성착향료","합성착향료","정제수",NA,NA,NA,"","","","","","오렌지향1","오렌지향2","",NA,NA,NA,NA,NA,NA
