"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26"
"1","번호2873","품목보고번호20130358242379","업소명주식회사 이수바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명아르기닌 7000","분류식품","업체명","주식회사 이수바이오","소재지","경기도 이천시 신둔면 증신로 517-11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","L-아르지닌","정제수","구연산(무수)","레몬농축액","시클로덱스트린","DL-사과산","산화아연","타우린","효소처리스테비아","비타민C","레몬향","기타가공품","비타민B1염산염","비타민B2","비타민B6염산염","","","","열매","","","","","","","서울향료 SK-H7115","복합황금추출물","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2872","품목보고번호19860443015604","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌 라이신 컴플렉스 5000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","프락토올리고당","구연산","백포도농축액","L-라이신","Red grape농축액","청포도향","수박추출물","타우린","글루콘산아연","효소처리스테비아","오르니틴염산염","혼합제제","황금혼합추출물","","","","무수구연산","청포도농축액","L-라이신염산염","적포도농축액","합성향료","수박과피추출물","","","","","필수아미노산8종 혼합제제","복합황금추출물","16","17","18","마카추출분말","L-글루타민","엽산","블랙마카추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2871","품목보고번호20060445110771","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명239아르기닌 맥스","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","구연산","DL-사과산","프락토올리고당","젖산","시클로덱스트린시럽","수박추출물","L-카르니틴","타우린","블루베리향","효소처리스테비아","잔탄검","맥아추출액","산화아연","","","","","","","","수박과피추출분말","","","","","","맥아추출물","","16","17","18","수크랄로스","아미노산혼합분말","아미노산혼합분말","","아미노산혼합분말1","아미노산혼합분말2","19","20","21","22","23","24","25","26","비타민B1질산염","비타민B2","니코틴산아미드","판토텐산칼슘","비타민B6염산염","엽산","건조효모","비오틴","","","","","","","(비타민B12)",""
"4","번호2870","품목보고번호20030415157492","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌 맥스","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","프락토올리고당(고시형)","구연산","오르니틴염산염","L-아스파트산","타우린","수박분말","아연(고시형)","드링크향","L-아르지닌","효소처리스테비아","황금혼합추출물","비타민 B2(고시형)","비타민 B6(고시형)","","","","","","","","수박과피추출물분말","건조효모(아연함유)","","효소처리아르기닌분말","","복합황금추출물","건조효모(비타민B2)","건조효모(비타민B6)","16","17","18","잔탄검","비타민 B1(고시형)","마카추출분말","","건조효모(비타민B1)","수용성마카추출분말","19","20","21","22",NA,NA,NA,NA,"비수리농축액","L-카르니틴","혼합야채분말","비타민 C(고시형)",NA,NA,NA,NA,"야관문농축액","","","인디안구스베리추출물분말(암라)",NA,NA,NA,NA
"5","번호2869","품목보고번호20030415157501","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌 맥스 5000","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","구연산","프락토올리고당","블루베리농축액","오르니틴염산염","블루베리향","잔탄검","황금혼합추출물","수크랄로스","L-로이신","L-이소로이신","L-발린","마카추출분말","비타민 C(고시형)","","","","","","","","","복합황금추출물","","","","","수용성마카추출분말, 뿌리","","16","17","18","타우린","비타민 B1(고시형)","비타민 B6(고시형)","","비타민B1질산염","비타민B6염산염","19","20","21","22","23","24",NA,NA,"니코틴산아미드(고시형)","판토텐산칼슘(고시형)","비오틴(고시형)","셀레늄(고시형)","산화아연(고시형)","비타민 B2(고시형)",NA,NA,"","","비오틴혼합분말","건조효모(셀렌함유)","","",NA,NA
"6","번호2868","품목보고번호20110084489502","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르기닌 아르마카 에너지 부스팅","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","구연산","Red grape농축액","레몬농축액","효소처리스테비아","블루베리주스농축액","마카뿌리분말","향료","혼합제제","기타가공품","타우린","글루콘산아연","프로테아제(식물성)","병풀추출","","","함수구연산","적포도주스농축액","","","","블랙마카분말","천연레몬향/천연향료","블루베리향","복합황금추출물","","","브로멜라인비알1200프로테아제","병풀추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2867","품목보고번호20110084489490","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르기닌 에너지 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","구연산","오렌지농축액","망고농축액","효소처리스테비아","겨우살이추출액","타우린","오렌지향","애플망고향","고량강뿌리줄기추출분말","기타가공품","글루콘산아연","수박분말","비타민B1염산염","","","함수구연산","모로오렌지농축액","","","","","혼합제제","합성향료","갈랑가(갈랑갈)추출물분말","복합황금추출물","","수박추출분말","","16","17","18","비타민B2","비타민B6염산염","혼합제제","","","비타민B12혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2866","품목보고번호2020042406546","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌 오르니틴 파워 부스터","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","구연산","백포도농축액","사양벌꿀","효소처리스테비아","합성향료","수박추출물","오르니틴염산염","글루콘산아연","맥아추출액","비타민C","기타가공품","니코틴산아미드","수크랄로스","","","무수구연산","","","","청포도향/AH-F-3631","수박추출분말","","","맥아추출물","","복합황금추출물","","","16","17","18","혼합제제","혼합제제","기타 농산가공품","아셀렌산혼합제제","아미노산혼합제제","마카추출분말","19","20","21","22",NA,NA,NA,NA,"혼합제제","비타민B1염산염","비타민B6염산염","엽산",NA,NA,NA,NA,"비타민B12혼합제제","","","",NA,NA,NA,NA
"9","번호2865","품목보고번호20110084489470","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르기닌 파워 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","구연산(무수)","Red grape농축액","레몬농축액","효소처리스테비아","블루베리주스농축액","아미드펙틴","레몬향","블루베리향","기타가공품","비타민B2","비타민B6염산염","혼합제제","타우린","","","","적포도주스농축액","","","","","천연레몬향(천연향료)","혼합제제","복합황금추출물","","","비타민B12혼합제제","","16","17","18","산화아연","니코틴산아미드","수박분말","","","수박추출분말","19",NA,NA,NA,NA,NA,NA,NA,"오르니틴염산염",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"10","번호2864","품목보고번호19860443015529","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌 포맨 X6000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","L-아르지닌","구연산(무수)","프락토올리고당","블루베리농축액","분말결정포도당","혼합제제","효소처리스테비아","기타가공품","비타민C","타우린","황금혼합추출물","수크랄로스","글루콘산아연","흑마늘농축액","헛개나무열매농축액","L-아르기닌","","올리고당","","무수분말결정포도당, 포도당","블루베리향","","수박과피추출물분말","","","복합황금추출물","","","유산균발효흑마늘농축액","헛개나무열매추출농축액","16","17","18","비타민B1염산염","복분자추출물분말","기타가공품","","복분자추출분말","블랙마카추출물","19",NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
