"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호3580","품목보고번호200306143071331","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명빙그레 슈퍼부스트 파워충전","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","당류가공품","타우린","구연산","기타가공품","구연산삼나트륨","합성향료","합성향료","비타민C","글루콘산아연","수크랄로스","아세설팜칼륨","치자황색소","합성향료","","액상 알룰로스","","","과라나추출물분말","","드링크향 JW6-21668","드링크향 JW6-21669","","","","","치자황색소 씨-150","사과향 20084105"
"2","번호3579","품목보고번호20070443110617","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명빙그레 아연워터","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"에리스리톨","구연산(무수)","향료","천연향료","구연산삼나트륨","글루콘산아연","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,"","","복숭아향 FAC-39215","천연복숭아향 FAC-38373","","","","",NA,NA,NA,NA,NA,NA
"3","번호3578","품목보고번호200306143071335","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명빙그레 아이스티 레몬","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"정제수","설탕","기타과당","구연산","과.채가공품","식품첨가물혼합제제","구연산삼나트륨","기타가공품","효소처리스테비아",NA,NA,NA,NA,NA,"","","","","레몬농축액","레몬향 TF-36466","","홍차엑기스분말D","",NA,NA,NA,NA,NA
"4","번호3577","품목보고번호200306143071334","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명빙그레 아이스티 복숭아","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"정제수","설탕","기타과당","구연산","과.채가공품","식품첨가물혼합제제","구연산삼나트륨","기타가공품","효소처리스테비아",NA,NA,NA,NA,NA,"","","","","복숭아농축액","복숭아향 J110723","","홍차엑기스분말D","",NA,NA,NA,NA,NA
"5","번호3576","품목보고번호20100528066159","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명빛이나라복분자식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"복분자발효액","엿기름당화액","정제수","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3575","품목보고번호20100528066160","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명빛이나라전통식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","엿기름당화액","설탕","쌀","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3574","품목보고번호20100528066161","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명빛이나라커큐민식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"강황추출액","쌀","엿기름당화액","정제수","생강","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3573","품목보고번호20100528066162","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명빛이나라호박식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"호박","엿기름당화액","정제수","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,"자숙단호박","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3572","품목보고번호20100614388245","업소명(주)천호엔케어","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명빠른 충전이 필요할 땐 타우린","분류식품","업체명","(주)천호엔케어","소재지","경상남도 양산시 그린공단1길 27(매곡동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"청포도농축액","타우린","백포도농축액","자일리톨","에리스리톨","천연착향료","구연산","과라나추출물분말","혼합제제비타민B","정제수",NA,NA,NA,NA,"","","","","","천연청포도향","","과라나추출분말","","",NA,NA,NA,NA
"10","번호3571","품목보고번호200306143071084","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명빠삐코 드링크 파우치","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"정제수","설탕","혼합분유","유크림","덱스트린","코코아분말","혼합제제","혼합제제","혼합제제","탄산수소나트륨","효소처리스테비아",NA,NA,NA,"","","혼합탈지분유(SMP8812)","남양크림","","","Sunsoft K-230","다크초콜릿향 K-152079","쪼코렛엣센스(Q61128)","","효소처리스테비아-알에이",NA,NA,NA
