"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","성분 및 원료13","비고13"
"1","번호2743","품목보고번호20070464094301","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터9개월","제품명아이스꿀배","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","과.채가공품","설탕","벌꿀","구연산","구연산삼나트륨","효소처리루틴","합성향료","합성향료","정제수","배청징농축액 / 국산","","","","","","배향1","배향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2742","품목보고번호20000449035240","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한12개월(실온)","제품명아이스모히토","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8",NA,"레몬농축액","정제수","백설탕","발사믹레몬시럽","농축사과과즙","구연산","애필민트혼합농축액","합성착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2741","품목보고번호20000614238207","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아이스버블복숭아","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","버블티오렌지향팝핑보바","복숭아농축액","복숭아홍차분말","액상과당","백설탕","구연산","비타민C","스테비안45S","비타민B1라우릴황산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","복숭아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2740","품목보고번호2014049317110","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아이스블루베리","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","설탕","과.채가공품","덱스트린","구연산","구연산삼나트륨","수크랄로스","베리류색소","카라멜색소","블루베리향","백설탕","블루베리퓌레","","(함수)산도조절제","산도조절제","감미료","쉐이드체리레드","","합성향료","10",NA,"정제수",NA,"",NA,NA,NA,NA,NA,NA,NA
"5","번호2739","품목보고번호2014049317124","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명아이스사과","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","정제수","설탕","과.채가공품","과.채가공품","합성향료","구연산","DL-사과산","비타민 C(고시형)","구연산삼나트륨","","백설탕","사과농축액","사과퓨레","사과향","산도조절제","사과산","","산도조절제","10",NA,"수크랄로스",NA,"감미료",NA,NA,NA,NA,NA,NA,NA
"6","번호2738","품목보고번호19890445014465","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명아이스샷","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8",NA,"액상과당","사과농축액","구연산","사과향","아스파탐","정제염","염화마그네슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2737","품목보고번호19890445014749","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월","제품명아이스워터","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3",NA,NA,NA,NA,NA,NA,"정제수","염화마그네슘","제이인산칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2736","품목보고번호2014049317126","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명아이스자몽에이드","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","과.채가공품","과.채가공품류","나린진","백설탕","구연산","효소처리루틴","베리류색소","락색소","합성향료","적자몽주스농축액","홍자몽펄프","","","","","쉐이드체리레드","","시트러스향","10","11","수크랄로스","합성향료","","자몽향","12","정제수","",NA,NA,NA
"9","번호2735","품목보고번호1987055800338","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명아이스초코","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","코코아분말","백설탕","전지분유","당류가공품","정제소금","카라기난","탄산수소나트륨","수크랄로스","초콜릿향","","정백당","","코코프리","","","","합성감미료","초콜릿향 1","10","11","초콜릿향","밀크향","초콜릿향 2","","12","정제수","",NA,NA,NA
"10","번호2734","품목보고번호20090473152187","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월 까지","제품명아이스쵸코","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","백설탕","코코아분말","전지분유","탈지분유","카복시메틸셀룰로스나트륨","잔탄검","정제소금","탄산수소나트륨","카라기난","","","","","CMC FH-1000","","","","카라기난검 K-100","10","11","유화제","초콜릿향","슈가에스테르 P-1670","초콜릿향#1(FC-68105)","12","밀크향","밀크향#1(FC-67106)","13","정제수",""
