"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호301","품목보고번호19950611073114","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명해담드리유자","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","7","유자과즙","백설탕","벌꿀","구연산","비타민C","정제염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호300","품목보고번호201900843641","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명해바 칼슘 1000","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5","6",NA,"정제수","필리핀레몬열매농축액","산호분말","패각분말","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호299","품목보고번호19860443015297","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명해보삼","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","기타과당","솔잎허브추출물","헛개나무열매농축액","복분자농축액","비수리농축액","산수유농축액","잔탄검","액상과당","솔잎농축액","","","야관문농축액","","산탄검","8","9","10","11","12","13","14","15","16","17","구연산(무수)","안식향산나트륨","녹차추출물분말가루","타우린","밀크씨슬농축","마카추출분말","글루콘산아연","인삼농축액","L-아르지닌","정제수","","","녹차추출물분말","","수용성밀크씨슬","마카분말","","발효인삼농축액","",""
"4","번호298","품목보고번호2004046701153","업소명자영홍삼식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명해염음품","분류식품","업체명","자영홍삼식품","소재지","충청남도 금산군 금산읍 인삼로 261-15","1","2",NA,NA,NA,NA,NA,"정제수","정제소금",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호297","품목보고번호19960571018119","업소명우일음료","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명해오름 알로에","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","알로에베라겔즙액함유절편","알로에베라겔분말","액상과당","말토덱스트린","젖산칼슘","구연산","비타민C",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","13","14",NA,NA,NA,"구연산삼나트륨","글리신","SY-GREEN","젤란검","알로에향(성원향료SW-6089)","청포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호296","품목보고번호201005540708","업소명(주)생명나무","품목유형혼합음료","유통/소비기한제조일부터 2년 (실온)","제품명해조원","분류식품","업체명","(주)생명나무","소재지","경상북도 영주시 장수면 장수로220번길 33(G동)","1","2","3",NA,NA,NA,NA,"정제수","식물혼합추출액","기타가공품",NA,NA,NA,NA,"","","제품명:복합황금추출물, 제조사:(주)비에스티",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호295","품목보고번호20080181270141","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한24개월(2년)","제품명해조음료(Fucoidan)","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","정제수","액상과당","프락토올리고당","배농축액","시클로덱스트린시럽","자일리톨","해조류추출분말","","","","","","","후코이단","8","9","10","11","12","13","14","15",NA,NA,"구연산","매실엑기스","치자그린색소","비타민 C(고시형)","구연산삼나트륨","믹스후르츠향","레몬향","페퍼민트향",NA,NA,"","매실농축액","","","","","","",NA,NA
"8","번호294","품목보고번호19940474018363","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 24월","제품명해취굿모닝","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","식물성혼합추출액","농축사과과즙","타우린","L-아스파라긴","니코틴산아미드","비타민B2","구연산삼나트륨","고형분1% 헛개나무열매0.9%,오리나무피엽,갈근,계피,엉겅퀴,감초","","","","","","","8","9","10","11","12","13","14","15",NA,NA,"DL-사과산","구연산","안식향산나트륨","액상과당","정제염","정제수","액상차","합성착향료",NA,NA,"","","","","","","헛개나무열매농축액","칡향",NA,NA
"9","번호293","품목보고번호20100543066424","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명해태 코코팜 피치핑크 복숭아","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","나타드코코","복숭아과즙","정제수","탈지분유","구연산","합성착향료","엘에스-303실리콘 소포제","나타드코코젤리 80%, 백설탕, 구연산","농축액(복숭아과즙으로 3%)","","","","복숭아향","정제수,규소수지,유화제,CMC나트륨","8","9","10","11","12","13",NA,NA,NA,NA,"자당지방산에스테르","구연산삼나트륨","두류가공품","수크랄로스","아세설팜칼륨","당시럽",NA,NA,NA,NA,"모노에스테르-P","","대두다당류","합성감미료","합성감미료","",NA,NA,NA,NA
"10","번호292","품목보고번호20100543066423","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명해태 코코팜 화이트 요구르트","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","나타드코코","정제수","백설탕","탈지분유","구연산","합성착향료","엘에스-303실리콘 소포제","나타드코코젤리 80%, 백설탕, 구연산","","","우유,국산","","요구르트향,레몬향","정제수,규소수지,CMC나트륨,유화제","8","9","10","11","12","13",NA,NA,NA,NA,"샤베트믹스","당시럽","두류가공품","구연산삼나트륨","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,"요구르트베이스(탈지분유(국산),백설탕,구연산,유산균)","","대두다당류","","합성감미료","합성감미료",NA,NA,NA,NA
