"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호5807","품목보고번호1996051900638","업소명주식회사 보성녹차인 1공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명Yoosh ALOE(수출용)","분류식품","업체명","주식회사 보성녹차인 1공장","소재지","전라남도 보성군 미력면 농공길 28-20","1","2","3","4","5","6","7","8","9","10","11","알로에 베라","액상과당","벌꿀","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤라검","포도향","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5806","품목보고번호201706230886","업소명주식회사 수경","품목유형혼합음료","유통/소비기한1년","제품명Z 워터 레몬향","분류식품","업체명","주식회사 수경","소재지","경상남도 함양군 서상면 추하뒷길 18","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"지하수","수소","레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5805","품목보고번호201706230885","업소명주식회사 수경","품목유형혼합음료","유통/소비기한1년","제품명Z 워터 오렌지향","분류식품","업체명","주식회사 수경","소재지","경상남도 함양군 서상면 추하뒷길 18","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"지하수","오렌지 향료","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5804","품목보고번호201706230887","업소명주식회사 수경","품목유형혼합음료","유통/소비기한1년","제품명Z 워터 자몽향","분류식품","업체명","주식회사 수경","소재지","경상남도 함양군 서상면 추하뒷길 18","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"지하수","수소","천연자몽향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5803","품목보고번호2017062308899","업소명주식회사 수경","품목유형혼합음료","유통/소비기한1년","제품명Z-water 제로타임","분류식품","업체명","주식회사 수경","소재지","경상남도 함양군 서상면 추하뒷길 18","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"지하수","수소","비타민C","천연향료(Lemon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5802","품목보고번호200705200791","업소명농업회사법인(주)고려홍삼공사","품목유형혼합음료","유통/소비기한0. 제조일로부터 : 2년 (보관방법:냉장보관)","제품명ZERO(제로)","분류식품","업체명","농업회사법인(주)고려홍삼공사","소재지","전라남도 화순군 무리길 1","1","2","3","4","5","6","7","8",NA,NA,NA,"감식초","홍삼액","과당","당근추출액","파인애플추출물","구연산","탄산칼슘","정제수",NA,NA,NA,"총산농도 2.6w/v%","홍삼성분 0.1mg/g","액상과당50%","고형분1%","수입,고형분1%","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5801","품목보고번호19920624042540","업소명(주)상일","품목유형혼합음료","유통/소비기한24개월","제품명ZOVERA PLUS","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","구연산","허브향","영지농축액","구연산삼나트륨","카라멜색소 BA","폴리덱스트로스","젖산칼슘","유카","퀼라야","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","17","18","19","20","은행잎엑스","마늘엑기스","홍삼농축액","비타민C","허브향","덱스트린","수크랄로스","비타민B12","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5800","품목보고번호19920624042513","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Zovera Health Drink with Vera gel","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","알로에베라잎(껍질제외)","벌꿀","젖산칼슘","구연산","알로에향","알로에향","구연산삼나트륨","알로에분말","알로에향","젤란검",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13",NA,NA,NA,NA,NA,NA,NA,"비타민C","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5799","품목보고번호19920624042512","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Zovera Health Drink with Vera gel Mango flavour","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","알로에베라잎(껍질제외)","구연산","망고향","젖산칼슘","망고향","구연산삼나트륨","천연카로틴엘","비타민C","젤란검","카라멜색소BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5798","품목보고번호201304941608","업소명자연을담은영농조합법인","품목유형혼합음료","유통/소비기한14일","제품명Z℃식혜","분류식품","업체명","자연을담은영농조합법인","소재지","전라북도 완주군 소양면 반곡길 39","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"호박","엿기름","멥쌀","올리고당","생강",NA,NA,NA,NA,NA,NA,"땅콩호박","엿기름추출액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
