"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13"
"1","번호4137","품목보고번호20020623009640","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명377바 시트러스(377BAR CITRUS)","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","오렌지농축액","백설탕","구연산","비타민C","에리스리톨","수크랄로스","정제소금","β-카로틴","두류가공품","시트러스향","오렌지향","럼향","정제수","65brix, 9brix기준 1.5%","","산도조절제","영양강화제","","합성감미료","","합성착색료","대두화이바","합성착향료","합성착향료","합성착향료",""
"2","번호4136","품목보고번호2019055911424","업소명농업회사법인 주식회사 내츄럴엔","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명바나나농축과즙액","분류식품","업체명","농업회사법인 주식회사 내츄럴엔","소재지","경상북도 영천시 금호읍 금창로 208-60","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","바나나농축과즙","글루코만난","카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","바나나농축과즙액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4135","품목보고번호20080435168813","업소명(주)신영에이치에스","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명바나나맛식혜","분류식품","업체명","(주)신영에이치에스","소재지","충청북도 제천시 바이오밸리로 67(왕암동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상차","백설탕","바나나농축액","바나나향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4134","품목보고번호201104921466","업소명(주)더조은워터","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바나수","분류식품","업체명","(주)더조은워터","소재지","전라북도 남원시 주천면 장백산로 139","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","Lactobacillus acidophilus동결건조",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4133","품목보고번호2010049401811","업소명(주) 담수연","품목유형혼합음료","유통/소비기한제조일로부터 365일","제품명바나초","분류식품","업체명","(주) 담수연","소재지","전라북도 완주군 양화로 129-31","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"감식초","바나나농축액","올리고당","액상과당","폴리덱스트로스","사과농축액","비타민C","바나나향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4132","품목보고번호20070464094379","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바닐라 라떼 아이스","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12",NA,"정제수","설탕","탈지분유","유크림","합성향료","가공소금","혼합제제","탄산수소나트륨","천연향료","합성향료","카라기난","혼합제제",NA,"","","혼합탈지분유","","바닐라향","","복합유화제","","바닐라빈추출물","밀크향","","",NA
"7","번호4131","품목보고번호1987055800369","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명바닐라쉐이크","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"우유","백설탕","혼합분유","당류가공품","수크랄로스","바닐라추출액","아세설팜칼륨","바닐라향","밀크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4130","품목보고번호20140395066270","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명바디메모 곤약젤리 (깔라만시)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12",NA,"정제수","과채주스","에리스리톨","혼합제제","곤약분말","젖산칼슘","천연오렌지향","구연산삼나트륨","구연산","아세설팜칼륨","수크랄로스","비타민C",NA,"","(깔라만시 원액)","","","","","","","","","","",NA
"9","번호4129","품목보고번호20140395066271","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명바디메모 곤약젤리 (복숭아)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","에리스리톨","혼합제제","곤약분말","구연산(무수)","복숭아향","구연산삼나트륨","젖산칼슘","복숭아농축액","아세설팜칼륨","수크랄로스","사과농축액","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4128","품목보고번호20140395066272","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명바디메모 곤약젤리 (청포도)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","에리스리톨","혼합제제","곤약분말","구연산(무수)","청포도향","구연산삼나트륨","젖산칼슘","청포도농축액","아세설팜칼륨","수크랄로스","사과농축액","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
