"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","성분 및 원료17","성분 및 원료18","비고17","비고18"
"1","번호601","품목보고번호20020623009795","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명퓨어플러스 갈아 만든 고창 수박","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","과.채가공품류","과.채가공품류","백설탕","기타과당","자일리톨","구연산","글루콘산","DL-사과산","젤란검","젖산칼슘","구연산삼나트륨","안식향산나트륨","식용색소적색제40호","합성향료","합성향료","","수박착즙액(국산)","수박착즙액(베트남산)","","","","","","","","","","합성보존료","합성착색료","수박향","레몬향",NA,NA,NA,NA,NA,NA
"2","번호600","품목보고번호20020623009318","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명퓨어플러스 비타씨","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","농축사과과즙","비타민C","액상과당","구연산","구연산삼나트륨","타우린","비타민B2","비타민B6염산염","L-글루탐산나트륨","니코틴산아미드","오렌지농축과즙","판토텐산칼슘","수크랄로스","정제소금","드링크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호599","품목보고번호19920624042410","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명퓨어플러스 알로에모야","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","액상과당","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤란검","수크랄로스","알로에향(SF-38290)","알로에향(TF-11409)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호598","품목보고번호20020623009869","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월.","제품명퓨어플러스 요괴메카드 코코 딸기","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","과.채가공품","딸기농축액","유산균혼합분말","젤란검","구연산삼나트륨","젖산칼슘","설탕","사양벌꿀","수크랄로스","구연산","비타민C","레드칼라","카라멜색소","유화제","합성향료","합성향료","나타드코코(코코넛젤리)","","","","","","","","합성감미료","","","","","자당지방산에스테르","시트러스향","딸기향","17","18","합성향료","정제수","딸기향",""
"5","번호597","품목보고번호20020623009867","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명퓨어플러스 요괴메카드 코코 복숭아","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","과.채가공품","복숭아농축액","유산균혼합분말","젤란검","구연산삼나트륨","젖산칼슘","설탕","사양벌꿀","구연산","비타민C","레드칼라","유화제","합성향료","합성향료","합성향료","정제수","나타드코코(코코넛젤리)","","","","","","","","","","","자당지방상에스테르","시트러스향","복숭아향","복숭아향","",NA,NA,NA,NA,NA,NA
"6","번호596","품목보고번호20020623009868","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월.","제품명퓨어플러스 요괴메카드 코코 청포도","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","과.채가공품","백포도농축액","유산균혼합분말","젤란검","구연산삼나트륨","젖산칼슘","설탕","사양벌꿀","수크랄로스","구연산","비타민C","치자그린색소","유화제","합성향료","합성향료","합성향료","나타드코코(코코넛젤리)","","","","","","","","합성감미료","","","","자당지방산에스테르","시트러스향","청포도향","포도향","17",NA,"정제수",NA,"",NA
"7","번호595","품목보고번호20020623009751","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명퓨어플러스 칼라만시","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,"칼라만시농축액","레몬농축액","백설탕","구연산","펙틴","수크랄로스","홍화황색소","시트러스향","칼라만시향","정제수",NA,NA,NA,NA,NA,NA,"칼라만시과즙(7brix)","65brix","","산도조절제","유화제","합성감미료","","합성착향료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호594","품목보고번호19920624042667","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명퓨어플러스 터닝메카드 딸기","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","백설탕","혼합탈지분유","구연산","딸기농축액","두류가공품","딸기향","딸기향","젖산칼슘","정제소금","펙틴","구연산삼나트륨","혼합제제","요거트분말","수크랄로스","비타민D3","정제수","","8515","","","대두화이바","KBR120656","S00805","","","","","아미노믹스","","","","",NA,NA,NA,NA,NA,NA
"9","번호593","품목보고번호19920624042666","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명퓨어플러스 터닝메카드 사과","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","백설탕","혼합탈지분유","구연산(무수)","사과농축액","두류가공품","사과향","혼합제제","젖산칼슘","정제소금","펙틴","구연산삼나트륨","혼합제제","요거트분말","수크랄로스","비타민D3","정제수","","8515","","","대두화이바","SF11878","애플소다향(15094129)","","","","","아미노믹스","","","","",NA,NA,NA,NA,NA,NA
"10","번호592","품목보고번호20020623009739","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명퓨어플러스 포켓몬 바나나 녹차","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","바나나농축액","녹차농축액","혼합탈지분유","백설탕","구연산","구연산삼나트륨","비타민C","젖산칼슘","수크랄로스","두류가공품","펙틴","정제소금","홍화황색소","시트러스향","바나나향","녹차향","65brix, 22brix기준 0.827%","68brix","","","산도조절제","산도조절제","영양강화제","영양강화제","합성감미료","대두화이바","","","","합성착향료","합성착향료","합성착향료","17","18","정제수","화학적합성품","","화학적합성품 식품첨가물(유화제)"
