"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15"
"1","번호71","품목보고번호20080395120671","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명후디스 플랜티스 오트","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","곡류가공품","프락토올리고당","치커리뿌리추출물","곡류가공품","채종유(유채유 또는 카놀라유)","탄산칼슘","정제소금","향료","레시틴","탄산칼륨(무수)","비타민E","산화아연","비타민B6염산염","비타민B1염산염","정제수","오트농축액","","","오트밀분말","","","","","","","","","","",""
"2","번호70","품목보고번호20200401439147","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명후디스 플랜티스 오트","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","곡류가공품","프락토올리고당","치커리뿌리추출물","곡류가공품","채종유(유채유 또는 카놀라유)","탄산칼슘","정제소금","향료","레시틴","탄산칼륨(무수)","비타민E","산화아연","비타민B6염산염","비타민B1염산염","정제수","오트농축액","","","오트밀분말","","","","","","","","","","",""
"3","번호69","품목보고번호19960458039565","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명후레쉬 알로에음료","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","설탕","알로에베라겔즙","덱스트린","구연산","젖산칼슘","알로에베라겔농축분말","비타민C","구연산삼나트륨","탄산칼슘","젤란검","혼합제제","혼합제제","혼합제제","혼합제제","","","","","","","100:1, 알로에베라겔로 7%","","","","","치자그린-비에스엘","드링크에센스 K-70188","화이트그레이프에센스","청포도향 FAC-04041"
"4","번호68","품목보고번호19960571018600","업소명우일음료","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명후레쉬 알로에음료","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","설탕","알로에베라겔즙","덱스트린","구연산","합성향료","합성향료","합성향료","젖산칼슘","알로에베라겔농축분말","탄산칼슘","젤란검","비타민C","구연산삼나트륨","식품첨가물혼합제제","","","","","","드링크에센스","화이트그레이프에센스","청포도향","","","","","","","치자그린-비에스엘"
"5","번호67","품목보고번호2002062300998","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명후레쉬알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"알로에베라겔즙","함유절편","액상과당","백설탕","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","알로에엣센스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호66","품목보고번호1999041506415","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명후레쉬워터","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","허브추출물","허브꽃추출물","순이추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호65","품목보고번호19910490040104","업소명세미기업(주)","품목유형혼합음료","유통/소비기한1년(12개월)","제품명후루티 믹스 파파야향","분류식품","업체명","세미기업(주)","소재지","전라북도 정읍시 2산단1길 48(하북동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"액상과당","백설탕","구연산","카르복시메틸셀룰로오스","혼합제제류","합성착향료","구연산삼나트륨","아스파탐","식용색소청색제1호","정제수",NA,NA,NA,NA,NA,"","","","","시트러스향","파파야향","","","","",NA,NA,NA,NA,NA
"8","번호64","품목보고번호1991049004072","업소명세미기업(주)","품목유형혼합음료","유통/소비기한1년","제품명후루티믹스 딸기맛","분류식품","업체명","세미기업(주)","소재지","전라북도 정읍시 2산단1길 48(하북동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"딸기시럽S","딸기향","락색소","베리류색소","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"딸기30.4%(중국산)설탕,솔비톨,아미드펙틴,구아검,구연산,사과산,구연산삼나트륨,제이인산칼슘","합성착향료","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호63","품목보고번호19910490040106","업소명세미기업(주)","품목유형혼합음료","유통/소비기한1년(12개월)","제품명후루티믹스 리치향","분류식품","업체명","세미기업(주)","소재지","전라북도 정읍시 2산단1길 48(하북동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"액상과당","백설탕","구연산","카르복시메틸셀룰로오스","혼합제제","합성착향료","구연산삼나트륨","아스파탐","식용색소적색제3호","식용색소적색제40호","정제수",NA,NA,NA,NA,"고과당","","","","시트러스향","리치향","","","","","",NA,NA,NA,NA
"10","번호62","품목보고번호1991049004073","업소명세미기업(주)","품목유형혼합음료","유통/소비기한1년","제품명후루티믹스 망고맛","분류식품","업체명","세미기업(주)","소재지","전라북도 정읍시 2산단1길 48(하북동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"망고시럽S","망고향","베타카로틴색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"망고20%(인도산),복숭아10%(중국산)솔비톨,백설탕,아미드펙틴,구연산,구아검,사과산,구연산삼나트륨,제이인산칼슘","합성착향료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
