"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13"
"1","번호4454","품목보고번호2011035599953","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조 일로부터 12개월","제품명맛있는 곤약젤리 복숭아","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10","복숭아농축액","당류가공품","에리스리톨","아세설팜칼륨","수크랄로스","검베이스","구연산(무수)","비타민C","복숭아향","정제수","","액상알룰로스","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4453","품목보고번호2011035599954","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명맛있는 곤약젤리 사과","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10","사과농축액","당류가공품","에리스리톨","아세설팜칼륨","수크랄로스","검베이스","구연산(무수)","비타민C","사과향","정제수","국내산 72브릭스","액상알룰로스","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4452","품목보고번호20140443099278","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명맛있는 곤약젤리 사과","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","에리스리톨","혼합제제","사과향","구연산","사과농축액","비타민C","구연산삼나트륨","젖산칼슘","수크랄로스","정제수","","검믹스#34026","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4451","품목보고번호2011035599966","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명맛있는 곤약젤리 요구르트","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10","요거트분말","당류가공품","에리스리톨","아세설팜칼륨","수크랄로스","검베이스","구연산(무수)","비타민C","요구르트향","정제수","프랑스산","액상알룰로스","","","","","","","","","11","12","13","곤약분말","젖산칼슘","로커스트콩검","","",""
"5","번호4450","품목보고번호20140443099275","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명맛있는 곤약젤리 요구르트","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","에리스리톨","혼합제제","요구르트향","구연산","요거트분말","비타민C","구연산삼나트륨","젖산칼슘","수크랄로스","정제수","","검믹스#34026","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4449","품목보고번호20140443099279","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명맛있는 곤약젤리 청포도","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","에리스리톨","혼합제제","청포도향","구연산","청포도농축액","비타민C","구연산삼나트륨","젖산칼슘","수크랄로스","정제수","","검믹스#34026","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4448","품목보고번호2011035599955","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로 부터 1개월","제품명맛있는 곤약젤리 청포도","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10","청포도농축액","당류가공품","에리스리톨","아세설팜칼륨","수크랄로스","검베이스","구연산(무수)","비타민C","청포도향","정제수","칠레산 (68브릭스)","액상알룰로스","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4447","품목보고번호20020512164113","업소명(주)예다손 나주공장","품목유형혼합음료","유통/소비기한제조일로부터1년까지(냉동보관), 제조일로부터5일까지(냉장보관)","제품명맛있는 떡에 식혜한잔","분류식품","업체명","(주)예다손 나주공장","소재지","전라남도 나주시 세지면 동창로 37(113-1,3,4,5,  362-21,2층)","1","2","3","4",NA,NA,NA,NA,NA,NA,"정제수","기타추출액","설탕","멥쌀",NA,NA,NA,NA,NA,NA,"","엿기름추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4446","품목보고번호200700768046","업소명장수식혜","품목유형혼합음료","유통/소비기한14일","제품명맛있는 생강식혜","분류식품","업체명","장수식혜","소재지","경기도 파주시 상지석길 318-43(2, 3동 상지석동)","1","2","3","4","5",NA,NA,NA,NA,NA,"역기름","설탕","쌀","정제수","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4445","품목보고번호2007007680411","업소명장수식혜","품목유형혼합음료","유통/소비기한3개월","제품명맛있는 수정과","분류식품","업체명","장수식혜","소재지","경기도 파주시 상지석길 318-43(2, 3동 상지석동)","1","2","3","4",NA,NA,NA,NA,NA,NA,"계피","생강","기타설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
