#,접수번호,접수일자,검체유형,시설명,시료명,의뢰기관,의뢰자,대표자,진행상황,부적합항목수,부적합항목,제조번호,제조일자,유통기한,확인일,의뢰구분,성적서용도,검사목적,검사결과,공문번호,공문의뢰일,문서시행번호,문서시행일,최종승인일,담당팀,담당자,채취방법,채취확인자,업체명,업종,배출시설,의뢰주소,전화번호,이동전화,이메일,채취일자,채취장소,처리기간,처리일,수수료,항목수
,2792400001-01,2024-01-03,대기및악취/지도점검/대 기,,(주)거성금속,포천시,포천시장,,결과승인완료,0,,,,,2024-01-11,관원,,,적합,환경지도과-22362,2023-12-15,경기도보건환경연구원북부지원-519,2024-01-11,2024-01-11,대기환경팀(B),최인태,,,,,도장건조시설,경기도 포천시 중앙로 87,,,,2024-01-03,경기 포천시 가산면 마정로256번길 32 측정공,20,2024-01-30,0,5
,2792400001-02,2024-01-03,대기및악취/지도점검/대 기,,(주)명성기업2공장,포천시,포천시장,,결과승인완료,0,,,,,2024-01-11,관원,,,적합,환경지도과-22362,2023-12-15,경기도보건환경연구원북부지원-519,2024-01-11,2024-01-11,대기환경팀(B),최인태,,,,,도장시설(6.08㎥),경기도 포천시 중앙로 87,,,,2024-01-03,경기 포천시 자작동 587-19 측정공,20,2024-01-30,0,5
,2792400002-01,2024-01-05,대기및악취/지도점검/대 기,선진모빌랙,선진모빌랙,포천시,포천시장,,결과승인완료,0,,,,,2024-01-11,관원,,,적합,환경지도과-22362,2023-12-15,경기도보건환경연구원북부지원-545,2024-01-11,2024-01-11,대기환경팀(B),민선웅,,,,,"도장시설(30m3), 열처리로(39m3)",경기도 포천시 중앙로 87,,,,2024-01-05,경기 포천시 가산면 마현3길 81 배출시설 측정공,20,2024-02-01,0,5
,2792400003-01,2024-01-11,대기및악취/지도점검/대 기,그린자동차공업사,그린자동차공업사,포천시,포천시장,,결과승인완료,0,,,,,2024-01-11,관원,,,적합,환경지도과-22362,2023-12-15,,,2024-01-11,대기환경팀(B),민선웅,,,,,도장(건조)시설(99.2m3),경기도 포천시 중앙로 87,,,,2024-01-05,경기 포천시 호국로 1106 (자작동),20,2024-02-07,0,5
,2792400003-02,2024-01-11,대기및악취/지도점검/대 기,그린자동차공업사,그린자동차공업사,포천시,포천시장,,결과승인완료,0,,,,,2024-01-11,관원,,,적합,환경지도과-22362,2023-12-15,,,2024-01-11,대기환경팀(B),민선웅,,,,,도장(건조)시설(88.2m3),경기도 포천시 중앙로 87,,,,2024-01-05,,20,2024-02-07,0,5
,2792400003-03,2024-01-11,대기및악취/지도점검/대 기,그린자동차공업사,그린자동차공업사,포천시,포천시장,,결과승인완료,0,,,,,2024-01-11,관원,,,적합,환경지도과-22362,2023-12-15,,,2024-01-11,대기환경팀(B),민선웅,,,,,분리시설(80m3),경기도 포천시 중앙로 87,,,,2024-01-05,,20,2024-02-07,0,5
,2792400004-01,2024-01-15,대기및악취/지도점검/대 기,장흥참숯가마,장흥참숯가마-1호기,양주시,양주시장,,결과승인완료,0,,,,,2024-01-26,관원,,,적합,기후에너지과-377,2024-01-03,경기도보건환경연구원북부지원-1243,2024-01-26,2024-01-26,대기환경팀(B),위효빈,,,,,탄화시설,경기도 양주시 부흥로 1533,,,,2024-01-15,경기 양주시 장흥면 권율로 400 장흥참숯가마 측정공,10,2024-01-26,0,1
,2792400005-01,2024-01-16,대기및악취/개선완료/대 기,동우섬유(주),동우섬유(주),경기도광역환경관리사업소,광역환경관리사업소장,,결과승인완료,0,,,,,2024-01-19,관원,,,적합,광역환경관리사업소-38652,2023-12-29,경기도보건환경연구원북부지원-893,2024-01-19,2024-01-19,대기환경팀(B),최인태,,,,,다림질시설(180㎥)1호기,경기 의정부시 청사로 1 (신곡동),,,,2024-01-16,경기 포천시 신북면 신평로72번길 33,20,2024-02-14,0,2
,2792400006-01,2024-01-17,대기및악취/개선완료/대 기,(주)서광인쇄,(주)서광인쇄-1호기,남양주시,남양주시장,,결과승인완료,0,,,,,2024-01-17,관원,,,적합,기후에너지과-1962,2024-01-12,경기도보건환경연구원북부지원-810,2024-01-17,2024-01-17,대기환경팀(B),위효빈,,,,,인쇄건조시설,경기 남양주시 경춘로 1037 (금곡동),,,,2024-01-17,경기 남양주시 진건읍 독정로솔숲길 23-15 (주)서광인쇄-1호기 측정공,3,2024-01-19,0,1
,2792400006-02,2024-01-17,대기및악취/개선완료/대 기,(주)서광인쇄,(주)서광인쇄-3호기,남양주시,남양주시장,,결과승인완료,0,,,,,2024-01-17,관원,,,적합,기후에너지과-1962,2024-01-12,경기도보건환경연구원북부지원-810,2024-01-17,2024-01-17,대기환경팀(B),위효빈,,,,,인쇄건조시설,경기 남양주시 경춘로 1037 (금곡동),,,,2024-01-17,경기 남양주시 진건읍 독정로솔숲길 23-15 (주)서광인쇄-3호기 측정공,3,2024-01-19,0,1
,2792400007-01,2024-01-25,대기및악취/지도점검/대 기,토담,토담,양주시,양주시장,,결과승인완료,0,,,,,2024-01-30,관원,,,적합,기후에너지과-377,2024-01-03,경기도보건환경연구원북부지원-1566,2024-02-01,2024-01-30,대기환경팀(B),민선웅,,,,,탄화시설,경기도 양주시 부흥로 1533,,,,2024-01-25,경기 양주시 백석읍 권율로847번길 7-11 배출시설 측정공,20,2024-02-23,0,1
,2792400008-01,2024-01-30,대기및악취/지도점검/대 기,천일페인트,천일페인트,양주시,양주시장,,결과승인완료,0,,,,,2024-02-02,관원,,,적합,기후에너지과-1745,2024-01-15,경기도보건환경연구원북부지원-1619,2024-02-02,2024-02-02,대기환경팀(B),이현진,,,,,혼합시설(방-2 흡착에 의한 시설 200㎥/분),경기도 양주시 부흥로 1533,,,,2024-01-30,경기 양주시 화합로1325번길 333 (덕정동),5,2024-02-05,0,3
,2792400008-02,2024-01-30,대기및악취/지도점검/대 기,천일페인트,천일페인트,양주시,양주시장,,결과승인완료,0,,,,,2024-02-02,관원,,,적합,기후에너지과-1745,2024-01-15,경기도보건환경연구원북부지원-1619,2024-02-02,2024-02-02,대기환경팀(B),이현진,,,,,"혼합시설(방-6 여과집진시설 150㎥/분, 여과 및 흡착에 의한 시설 150㎥/분)",경기도 양주시 부흥로 1533,,,,2024-01-30,경기 양주시 화합로1325번길 333 (덕정동),5,2024-02-05,0,3
,2792400009-01,2024-02-01,대기및악취/지도점검/대 기,천일페인트,천일페인트,양주시,양주시장,,결과승인완료,0,,,,,2024-02-06,관원,,,적합,기후에너지과-1745,2024-01-15,경기도보건환경연구원북부지원-1741,2024-02-06,2024-02-06,대기환경팀(B),최인태,,,,,혼합및포장시설(흡착150㎥/분),경기도 양주시 부흥로 1533,,,,2024-02-01,경기 양주시 화합로1325번길 333 측정공,20,2024-03-04,0,3
,2792400009-02,2024-02-01,대기및악취/지도점검/대 기,천일페인트,천일페인트,양주시,양주시장,,결과승인완료,0,,,,,2024-02-06,관원,,,적합,기후에너지과-1745,2024-01-15,경기도보건환경연구원북부지원-1741,2024-02-06,2024-02-06,대기환경팀(B),최인태,,,,,혼합시설(여과및흡착150㎥/분),경기도 양주시 부흥로 1533,,,,2024-02-01,경기 양주시 화합로1325번길 333 측정공,20,2024-03-04,0,3
,2792400011-01,2024-02-05,대기및악취/지도점검/대 기,(주)DK케미컬,(주)DK케미컬,파주시,파주시장,,결과승인완료,0,,,,,2024-02-16,관원,,,적합,환경지도과-4305,2024-02-05,경기도보건환경연구원북부지원-2199,2024-02-16,2024-02-16,대기환경팀(B),김재광,,,,,"혼합시설(6대),반응시설(5대)",경기 파주시 시청로 50 (아동동),,,,2024-02-05,경기 파주시 탄현면 소리개길 137 (주)DK케미컬,11,2024-02-22,0,3
,2792400012-01,2024-02-06,실내공기질/실내공기질/다중이용시설,오남역,대합실,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 오남읍 진건오남로 지하 929,6,2024-02-15,0,3
,2792400012-02,2024-02-06,실내공기질/실내공기질/다중이용시설,오남역,승강장,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 오남읍 진건오남로 지하 929,6,2024-02-15,0,3
