번호,접수번호,채취장소,의뢰자,검체유형,시료명,접수일,항목수,벤젠,톨루엔,일산화탄소,암모니아,황화수소,이황화탄소,불소화합물,염화수소,황산화물,질소산화물,포름알데히드,시안화수소,페놀화합물,수은화합물,먼지,카드뮴화합물,납화합물,크롬화합물,구리화합물,니켈및그화합물,아연화합물,매연,총탄화수소,비소화합물,유류 중 황함유량,스틸렌,에틸벤젠,철화합물,트리클로로에틸렌,아크릴로니트릴,"1,2-Dichlorethane",클로로포름,테트라클로로에틸렌,Carbon tetrachloride,Rn,PM-10,PM-2.5,CO2,Formaldehyde,세균
1,2792400001-01,경기 포천시 가산면 마정로256번길 32 측정공,포천시장,대기및악취/지도점검/대 기,(주)거성금속,01월 03일,05월 05일,,,,,,,,,,0,,,,,1.27,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,
2,2792400001-02,경기 포천시 자작동 587-19 측정공,포천시장,대기및악취/지도점검/대 기,(주)명성기업2공장,01월 03일,05월 05일,,,,,,,,,,0,,,,,5.13,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,
3,2792400002-01,경기 포천시 가산면 마현3길 81 배출시설 측정공,포천시장,대기및악취/지도점검/대 기,선진모빌랙,01월 05일,05월 05일,,,,,,,,,,불검출,,,,,2,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,
4,2792400003-01,경기 포천시 호국로 1106 (자작동),포천시장,대기및악취/지도점검/대 기,그린자동차공업사,01월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2792400003-02,,포천시장,대기및악취/지도점검/대 기,그린자동차공업사,01월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2792400003-03,,포천시장,대기및악취/지도점검/대 기,그린자동차공업사,01월 11일,05월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2792400004-01,경기 양주시 장흥면 권율로 400 장흥참숯가마 측정공,양주시장,대기및악취/지도점검/대 기,장흥참숯가마-1호기,01월 15일,01월 01일,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2792400005-01,경기 포천시 신북면 신평로72번길 33 ,광역환경관리사업소장,대기및악취/개선완료/대 기,동우섬유(주),01월 16일,02월 02일,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2792400006-01,경기 남양주시 진건읍 독정로솔숲길 23-15 (주)서광인쇄-1호기 측정공,남양주시장,대기및악취/개선완료/대 기,(주)서광인쇄-1호기,01월 17일,01월 01일,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,
10,2792400006-02,경기 남양주시 진건읍 독정로솔숲길 23-15 (주)서광인쇄-3호기 측정공,남양주시장,대기및악취/개선완료/대 기,(주)서광인쇄-3호기,01월 17일,01월 01일,,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,
